parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,6693,6040,117,27,6743,6060,676.0,,0.0,UNKNOWN,,,
1,3107,6000,37,39,3125,6020,542.0,,0.0,UNKNOWN,,,
2,3092,5947,124,78,3174,5995,1885.5,,0.0,UNKNOWN,,,
3,6165,5895,61,58,6195,5922,665.5,,0.0,UNKNOWN,,,
4,6747,5857,55,82,6775,5899,516.0,,0.0,UNKNOWN,,,
5,7073,5825,82,55,7109,5860,584.5,,0.0,UNKNOWN,,,
6,5622,5823,27,96,5633,5867,782.0,,0.0,UNKNOWN,,,
7,6783,5819,107,46,6839,5838,734.0,,0.0,UNKNOWN,,,
8,5651,5811,64,58,5683,5843,556.5,,0.0,UNKNOWN,,,
9,6440,5782,21,66,6447,5814,513.5,,0.0,UNKNOWN,,,
10,5874,5756,40,97,5897,5803,813.0,,0.0,UNKNOWN,,,
11,6861,5746,76,118,6895,5806,718.5,,0.0,UNKNOWN,,,
12,5921,5745,511,22,6188,5752,3663.0,,0.0,UNKNOWN,,,
13,6632,5713,64,73,6667,5745,567.0,,0.0,UNKNOWN,,,
14,6507,5687,43,46,6530,5707,509.5,,0.0,UNKNOWN,,,
15,7040,5686,33,137,7053,5750,642.5,,0.0,UNKNOWN,,,
16,6577,5646,26,62,6590,5678,518.0,,0.0,UNKNOWN,,,
17,4986,5600,40,117,5006,5657,694.0,,0.0,UNKNOWN,,,
18,6780,5591,58,48,6810,5617,716.5,,0.0,UNKNOWN,,,
19,6900,5582,63,69,6932,5619,801.5,,0.0,UNKNOWN,,,
20,6452,5565,95,36,6501,5584,842.5,,0.0,UNKNOWN,,,
21,6548,5563,45,78,6568,5602,576.0,,0.0,UNKNOWN,,,
22,6881,5506,53,85,6902,5543,732.5,,0.0,UNKNOWN,,,
23,6767,5487,39,53,6785,5511,517.0,,0.0,UNKNOWN,,,
24,6868,5460,60,64,6899,5490,969.5,,0.0,UNKNOWN,,,
25,6739,5448,47,65,6765,5472,919.0,,0.0,UNKNOWN,,,
26,6793,5442,79,268,6843,5576,1597.0,,0.0,UNKNOWN,,,
27,5744,5438,138,290,5817,5593,2157.0,,0.0,UNKNOWN,,,
28,6967,5410,79,525,7007,5657,2549.0,,0.0,UNKNOWN,,,
29,6612,5408,52,188,6633,5503,1036.0,,0.0,UNKNOWN,,,
30,6855,5400,44,49,6881,5422,504.0,,0.0,UNKNOWN,,,
31,4239,5382,181,81,4316,5435,1085.0,,0.0,UNKNOWN,,,
32,6130,5350,90,75,6173,5387,1509.5,,0.0,UNKNOWN,,,
33,6560,5344,67,263,6596,5477,1604.5,,0.0,UNKNOWN,,,
34,6664,5341,30,112,6679,5395,611.5,,0.0,UNKNOWN,,,
35,6695,5322,92,117,6744,5381,857.0,,0.0,UNKNOWN,,,
36,6603,5320,104,184,6652,5414,1646.5,,0.0,UNKNOWN,,,
37,6771,5299,183,86,6865,5339,1152.5,,0.0,UNKNOWN,,,
38,4204,5296,104,90,4250,5349,838.5,,0.0,UNKNOWN,,,
39,6580,5275,94,67,6628,5309,854.0,,0.0,UNKNOWN,,,
40,6771,5257,185,95,6860,5305,1348.5,,0.0,UNKNOWN,,,
41,6129,5235,86,56,6175,5264,984.5,,0.0,UNKNOWN,,,
42,7026,5222,25,463,7040,5442,2481.5,,0.0,UNKNOWN,,,
43,6109,5169,95,68,6158,5200,1111.0,,0.0,UNKNOWN,,,
44,5637,5134,47,97,5653,5174,699.5,,0.0,UNKNOWN,,,
45,6455,5015,109,327,6486,5181,2474.0,,0.0,UNKNOWN,,,
46,6686,5006,61,55,6713,5034,932.5,,0.0,UNKNOWN,,,
47,4811,4981,72,58,4844,5003,723.0,,0.0,UNKNOWN,,,
48,5689,4954,135,164,5757,5031,1573.5,,0.0,UNKNOWN,,,
49,6668,4895,55,41,6696,4914,564.5,,0.0,UNKNOWN,,,
50,6665,4855,40,38,6685,4874,1101.5,0,0.512,INVALID,,0,
51,4766,4843,78,145,4805,4910,1440.5,,0.0,UNKNOWN,,,
52,5824,4798,134,156,5888,4876,1228.0,,0.0,UNKNOWN,,,
53,6564,4789,40,50,6586,4815,600.0,,0.0,UNKNOWN,,,
54,6544,4737,40,68,6564,4770,744.0,,0.0,UNKNOWN,,,
