parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,1446,5482,20,300,1452,5640,1347.0,,0.0,UNKNOWN,,,
1,4735,5236,39,75,4752,5273,583.0,,0.0,UNKNOWN,,,
2,5531,5170,457,37,5756,5184,2456.0,,0.0,UNKNOWN,,,
3,4547,5167,172,49,4629,5195,1296.5,,0.0,UNKNOWN,,,
4,5991,5145,142,30,6060,5161,674.5,,0.0,UNKNOWN,,,
5,6683,5143,69,42,6709,5165,522.5,,0.0,UNKNOWN,,,
6,6745,5107,47,42,6771,5127,502.5,,0.0,UNKNOWN,,,
7,4540,5097,164,55,4618,5124,1285.0,,0.0,UNKNOWN,,,
8,2502,5065,83,76,2542,5089,1009.0,,0.0,UNKNOWN,,,
9,6457,4923,61,66,6487,4955,527.5,,0.0,UNKNOWN,,,
10,6561,4909,61,58,6593,4936,502.5,,0.0,UNKNOWN,,,
11,4526,4891,83,38,4569,4912,607.5,,0.0,UNKNOWN,,,
12,6702,4835,64,51,6732,4860,550.0,,0.0,UNKNOWN,,,
13,7208,4822,73,122,7259,4891,704.5,,0.0,UNKNOWN,,,
14,3111,4799,296,76,3256,4835,1683.0,,0.0,UNKNOWN,,,
15,4440,4798,136,50,4505,4824,846.0,,0.0,UNKNOWN,,,
16,2753,4716,267,65,2885,4747,1305.5,,0.0,UNKNOWN,,,
17,7229,4595,112,44,7284,4609,537.5,,0.0,UNKNOWN,,,
18,3700,4404,53,122,3718,4470,705.0,,0.0,UNKNOWN,,,
19,3716,4340,62,75,3738,4377,683.0,,0.0,UNKNOWN,,,
20,3600,4325,29,103,3609,4380,554.0,,0.0,UNKNOWN,,,
21,4556,4282,143,232,4624,4383,1724.5,,0.0,UNKNOWN,,,
22,4561,4227,117,162,4621,4306,1530.5,,0.0,UNKNOWN,,,
23,4066,4197,101,38,4112,4218,678.0,,0.0,UNKNOWN,,,
24,3244,4181,32,104,3258,4227,548.0,,0.0,UNKNOWN,,,
25,3935,4132,84,34,3982,4151,535.0,,0.0,UNKNOWN,,,
26,3613,4031,44,43,3634,4051,1434.5,0,0.699,INVALID,,0,
27,3879,4029,43,79,3896,4065,596.0,,0.0,UNKNOWN,,,
28,3619,3961,72,60,3653,3993,991.5,,0.0,UNKNOWN,,,
29,4164,3908,381,361,4358,4079,3717.5,,0.0,UNKNOWN,,,
30,4253,3900,313,325,4415,4064,3451.5,,0.0,UNKNOWN,,,
