parcel_id,detected_number,cx,cy,confidence,validation,area_px,tess_number,tess_conf,easy_number,easy_conf
,,4627.2027117733915,5195.928044032756,0.0,NO_NUMBER,1241.5,,0.0,,0.0
,,5825.880139584282,5181.905730035907,0.0,NO_NUMBER,3295.5,,0.91,,0.0
,,6734.499914748508,5153.622847399829,0.0,NO_NUMBER,977.5,,0.93,,0.0
,,4624.835390946502,5127.62757201646,0.0,NO_NUMBER,1377.0,,0.0,,0.0
,,2539.7003727110678,5087.791767946848,0.0,NO_NUMBER,1028.5,,0.0,,0.0
,,4736.611861861861,5070.17042042042,0.0,NO_NUMBER,1110.0,,0.15,,0.0
,,4500.945853462157,4824.566022544283,0.0,NO_NUMBER,828.0,,0.0,,0.0
,,3251.84524137931,4833.521931034483,0.0,NO_NUMBER,1812.5,,0.0,,0.0
,,2923.4337548103354,4754.4899212021255,0.0,NO_NUMBER,1819.0,,0.96,,0.0
,,7286.347440372309,4707.32824316463,0.0,NO_NUMBER,1146.0,,0.0,,0.0
,,3052.572891072891,4466.610974610974,0.0,NO_NUMBER,814.0,,0.0,,0.0
,,4641.396707513306,4413.071914840945,0.0,NO_NUMBER,1346.5,,0.79,,0.0
,,3046.3258117776554,4193.3078334250595,0.0,NO_NUMBER,908.5,,0.0,,0.0
,,3632.344749672969,4050.3675823522412,0.0,NO_NUMBER,1401.5,,0.0,,0.0
,,4398.083231191268,4119.313196754801,0.0,NO_NUMBER,2855.5,,0.54,,0.0
,,4463.601191814707,4122.499437823251,0.0,NO_NUMBER,4447.0,,0.54,,0.0
,,7260.23433966531,4088.9914631388506,0.0,NO_NUMBER,2948.0,,0.39,,0.0
,,8621.787032654993,3617.7229846979017,0.0,NO_NUMBER,1056.5,,0.61,,0.0
,,5881.716443887496,3480.3675160122525,0.0,NO_NUMBER,2394.0,,0.34,,0.0
,,7419.386813957565,3452.8207960722425,0.0,NO_NUMBER,950.5,,0.91,,0.0
,,5882.718754014129,3355.693192035966,0.0,NO_NUMBER,2595.0,,0.45,,0.0
,,5885.120911793855,3199.7624710934915,0.0,NO_NUMBER,2018.0,,0.25,,0.0
,,7492.2226348364275,3164.6254641909813,0.0,NO_NUMBER,942.5,,0.59,,0.0
,,7416.179473304473,3142.6338383838383,0.0,NO_NUMBER,924.0,,0.0,,0.0
,,5898.015752993068,3079.661310649023,0.0,NO_NUMBER,1587.0,,0.81,,0.0
,,2990.82090379817,2937.065705572498,0.0,NO_NUMBER,1803.5,,0.0,,0.0
,,2750.1389941875154,2909.9016932019204,0.0,NO_NUMBER,1319.0,,0.29,,0.0
,,3191.5636489767603,2982.7178864608622,0.0,NO_NUMBER,1441.5,,0.0,,0.0
,,2953.436641516734,2789.580383052815,0.0,NO_NUMBER,861.5,,0.42,,0.0
,,2940.806342015855,2732.6725179312944,0.0,NO_NUMBER,883.0,,0.23,,0.0
,,2903.260904425914,2681.340228779132,0.0,NO_NUMBER,3118.0,,0.0,,0.0
,,7343.701388888889,2784.4385376756063,0.0,NO_NUMBER,2088.0,,0.0,,0.0
,,2920.5774065782675,2646.1042994087593,0.0,NO_NUMBER,2903.5,,0.46,,0.0
,,2535.390438247012,2615.7256308100928,0.0,NO_NUMBER,1255.0,,0.52,,0.0
,,2584.2140073360843,2586.897867950481,0.0,NO_NUMBER,1454.0,,0.0,,0.0
,,2919.9843209122378,2457.5372632864996,0.0,NO_NUMBER,1637.0,,0.38,,0.0
,,3281.6797451374914,2331.1346411804157,0.0,NO_NUMBER,994.0,,0.75,,0.0
,,3596.1019131714497,2235.601054697081,0.0,NO_NUMBER,1359.0,,0.79,,0.0
