parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,1758,5891,68,130,1790,5950,711.0,,0.0,UNKNOWN,,,
1,1475,5834,40,60,1496,5866,504.5,,0.0,UNKNOWN,,,
2,737,5826,40,163,755,5899,872.5,,0.0,UNKNOWN,,,
3,941,5815,32,98,957,5859,514.5,,0.0,UNKNOWN,,,
4,756,5814,100,28,807,5831,549.5,,0.0,UNKNOWN,,,
5,3482,5796,164,115,3561,5853,1244.0,,0.0,UNKNOWN,,,
6,1469,5796,36,52,1484,5820,583.5,,0.0,UNKNOWN,,,
7,904,5795,57,167,932,5876,923.5,,0.0,UNKNOWN,,,
8,2581,5762,49,27,2603,5776,521.5,,0.0,UNKNOWN,,,
9,766,5751,56,53,790,5774,615.5,,0.0,UNKNOWN,,,
10,474,5749,55,33,505,5763,638.5,,0.0,UNKNOWN,,,
11,3410,5747,60,36,3438,5767,684.0,,0.0,UNKNOWN,,,
12,1193,5734,571,152,1510,5760,4216.0,,0.0,UNKNOWN,,,
13,1145,5728,46,55,1159,5747,599.0,,0.0,UNKNOWN,,,
14,3388,5692,66,38,3421,5714,624.5,,0.0,UNKNOWN,,,
15,2105,5678,42,48,2124,5699,620.0,,0.0,UNKNOWN,,,
16,3475,5670,148,42,3556,5692,938.5,,0.0,UNKNOWN,,,
17,791,5641,146,155,868,5716,2399.5,,0.0,UNKNOWN,,,
18,486,5641,82,315,539,5782,2181.0,,0.0,UNKNOWN,,,
19,3511,5635,72,46,3545,5655,565.0,,0.0,UNKNOWN,,,
20,2063,5633,57,58,2088,5661,689.5,,0.0,UNKNOWN,,,
21,664,5630,88,164,710,5702,1067.0,,0.0,UNKNOWN,,,
22,716,5625,34,58,730,5647,562.0,,0.0,UNKNOWN,,,
23,3592,5597,147,37,3672,5620,1015.0,,0.0,UNKNOWN,,,
24,3648,5588,296,214,3797,5692,2460.0,,0.0,UNKNOWN,,,
25,3933,5574,118,70,3984,5610,909.0,,0.0,UNKNOWN,,,
26,700,5574,93,87,747,5614,716.5,,0.0,UNKNOWN,,,
27,930,5561,42,57,951,5592,643.0,,0.0,UNKNOWN,,,
28,2032,5554,68,85,2068,5601,844.0,,0.0,UNKNOWN,,,
29,981,5552,38,267,1004,5675,1819.5,,0.0,UNKNOWN,,,
30,3721,5540,119,47,3779,5566,816.5,,0.0,UNKNOWN,,,
31,3449,5535,78,64,3480,5567,737.5,,0.0,UNKNOWN,,,
32,917,5520,46,42,939,5540,595.0,,0.0,UNKNOWN,,,
33,3511,5505,187,77,3605,5548,1409.0,,0.0,UNKNOWN,,,
34,3395,5493,73,21,3435,5506,521.5,,0.0,UNKNOWN,,,
35,507,5492,106,347,565,5666,2340.0,,0.0,UNKNOWN,,,
36,1093,5484,55,229,1119,5589,1322.0,,0.0,UNKNOWN,,,
37,3949,5473,166,115,4029,5534,1257.5,,0.0,UNKNOWN,,,
38,938,5460,47,94,967,5510,668.5,,0.0,UNKNOWN,,,
39,3508,5454,79,37,3546,5476,543.0,,0.0,UNKNOWN,,,
40,3828,5442,78,54,3865,5474,627.0,,0.0,UNKNOWN,,,
41,3272,5420,41,44,3295,5440,629.5,0,0.375,INVALID,,0,
42,754,5420,61,58,787,5455,574.0,,0.0,UNKNOWN,,,
43,672,5414,114,143,709,5469,1466.0,,0.0,UNKNOWN,,,
44,590,5408,53,65,621,5447,554.5,,0.0,UNKNOWN,,,
45,3326,5397,89,43,3370,5420,707.5,,0.0,UNKNOWN,,,
46,4071,5393,143,59,4139,5423,806.5,,0.0,UNKNOWN,,,
