parcel_id,detected_number,cx,cy,confidence,validation,area_px,tess_number,tess_conf,easy_number,easy_conf
,,1281.5936147186146,5758.272005772005,0.0,NO_NUMBER,924.0,,0.0,,0.0
,,1935.8108621860147,5767.565784114053,0.0,NO_NUMBER,1227.5,,0.0,,0.0
,,1487.6374551971326,5747.392831541219,0.0,NO_NUMBER,930.0,,0.0,,0.0
,,1834.956442831216,5672.928856624319,0.0,NO_NUMBER,1377.5,,0.69,,0.0
,,1175.032315978456,5636.236983842011,0.0,NO_NUMBER,835.5,,0.0,,0.0
,,1376.349459598559,5630.016297821238,0.0,NO_NUMBER,971.5,,0.92,,0.0
,,8756.357886466312,5646.078766450599,0.0,NO_NUMBER,848.5,,0.33,,0.0
,,1514.1482785602502,5572.853090766823,0.0,NO_NUMBER,852.0,,0.05,,0.0
,,1173.078066914498,5577.003407682775,0.0,NO_NUMBER,1076.0,,0.0,,0.0
,,7976.315945827872,5595.615465268676,0.0,NO_NUMBER,1907.5,,0.7,,0.0
,,1113.6472209462563,5502.068289695299,0.0,NO_NUMBER,1088.5,,0.0,,0.0
,,8215.778800833059,5480.301983996492,0.0,NO_NUMBER,1520.5,,0.0,,0.0
,,7610.526610644258,5457.263655462185,0.0,NO_NUMBER,952.0,,0.0,,0.0
,,1391.0867507886435,5460.295127935506,0.0,NO_NUMBER,951.0,,0.0,,0.0
,,1032.2512335526317,5456.047560307017,0.0,NO_NUMBER,1216.0,,0.24,,0.0
,,1394.7611065685471,5419.3195693649495,0.0,NO_NUMBER,1223.0,,0.0,,0.0
,,1130.5184340554922,5349.20613201571,0.0,NO_NUMBER,1315.5,,0.0,,0.0
,,1517.9832930756843,5327.963969404186,0.0,NO_NUMBER,828.0,,0.38,,0.0
,,2466.795406162465,5330.813445378151,0.0,NO_NUMBER,1487.5,,0.71,,0.0
,,7875.170591120921,5315.125521216581,0.0,NO_NUMBER,2718.0,,0.0,,0.0
,,1476.7602083333331,5282.178333333332,0.0,NO_NUMBER,800.0,,0.0,,0.0
,,8157.562203575338,5325.369086708014,0.0,NO_NUMBER,1370.5,,0.75,,0.0
,,1466.2025048169555,5244.410789980732,0.0,NO_NUMBER,865.0,,0.0,,0.0
,,1216.723311546841,5236.960310694326,0.0,NO_NUMBER,1759.5,,0.0,,0.0
,,1980.8003259983698,5255.5032599836995,0.0,NO_NUMBER,818.0,,0.0,,0.0
,,8004.917462211614,5168.147573587907,0.0,NO_NUMBER,838.0,,0.0,,0.0
,,1432.3710788851176,5177.544276457883,0.0,NO_NUMBER,1620.5,,0.0,,0.0
,,3930.112526539278,5188.06450308361,0.0,NO_NUMBER,3297.0,,0.0,,0.0
,,4065.764281024294,5184.721054935434,0.0,NO_NUMBER,1523.0,,0.82,,0.0
,,6975.884275972723,5156.640393100681,0.0,NO_NUMBER,831.0,,0.0,,0.0
,,4783.301939513477,5120.953977646285,0.0,NO_NUMBER,1014.0,,0.0,,0.0
,,4692.112857718662,5135.484750772538,0.0,NO_NUMBER,1240.5,,0.41,,0.0
,,7868.199440657227,5114.482520538367,0.0,NO_NUMBER,1907.0,,0.28,,0.0
,,7646.826187335092,5158.989665787159,0.0,NO_NUMBER,1516.0,,0.63,,0.0
,,1297.9013947001392,5118.820781032078,0.0,NO_NUMBER,1195.0,,0.0,,0.0
,,1681.81807372176,5088.415576694411,0.0,NO_NUMBER,841.0,,0.0,,0.0
,,4573.523747418759,5069.940332572546,0.0,NO_NUMBER,1533.5,,0.0,,0.0
,,7241.802392095683,5046.285751430057,0.0,NO_NUMBER,1282.0,,0.0,,0.0
,,4381.1381962864725,5059.612024756852,0.0,NO_NUMBER,1885.0,,0.0,,0.0
,,7121.745181674565,5035.492733017377,0.0,NO_NUMBER,1055.0,,0.94,,0.0
,,8120.008582285115,4986.268016247379,0.0,NO_NUMBER,2544.0,,0.21,,0.0
,,4297.433317587781,4992.613919067863,0.0,NO_NUMBER,2117.0,,0.64,,0.0
,,3973.4456569183762,4962.415393569038,0.0,NO_NUMBER,1145.5,,0.0,,0.0
,,1117.183356106448,5171.136801353374,0.0,NO_NUMBER,5123.0,,0.61,,0.0
,,7106.005410997055,4987.444258772977,0.0,NO_NUMBER,2094.5,,0.0,,0.0
,,7748.59995076317,4950.376415558838,0.0,NO_NUMBER,2031.0,,0.89,,0.0
,,8003.5784732754255,4941.574934509858,0.0,NO_NUMBER,3626.5,,0.46,,0.0
,,7353.773038764447,4925.846476424261,0.0,NO_NUMBER,1629.5,,0.42,,0.0
,,3782.897575521846,4912.060936081939,0.0,NO_NUMBER,1285.5,,0.0,,0.0
,,3993.890058479532,4911.033416875522,0.0,NO_NUMBER,997.5,,0.0,,0.0
,,7397.22755818249,4869.267577884497,0.0,NO_NUMBER,1353.5,,0.0,,0.0
,,7446.96224417784,4845.382145377558,0.0,NO_NUMBER,1417.0,,0.0,,0.0
,,3024.028355534782,4836.630053750876,0.0,NO_NUMBER,2139.5,,0.0,,0.0
,,3438.802904921989,4839.977889837083,0.0,NO_NUMBER,3867.0,,0.56,,0.0
