parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,458,6342,6996,21,3816,6356,39912.0,,0.0,UNKNOWN,,,
1,345,6342,114,20,401,6356,779.5,,0.0,UNKNOWN,,,
2,7452,6337,71,24,7487,6352,581.0,,0.0,UNKNOWN,,,
3,3063,6137,135,33,3137,6153,714.0,,0.0,UNKNOWN,,,
4,6280,6103,43,58,6304,6134,529.5,,0.0,UNKNOWN,,,
5,6342,6083,48,101,6374,6135,745.5,,0.0,UNKNOWN,,,
6,2476,6074,173,65,2557,6105,944.5,,0.0,UNKNOWN,,,
7,2874,6069,256,36,2998,6080,1902.5,,0.0,UNKNOWN,,,
8,5621,6049,178,23,5715,6060,1024.0,,0.0,UNKNOWN,,,
9,2592,6034,120,38,2650,6055,618.5,,0.0,UNKNOWN,,,
10,2281,5989,32,82,2294,6032,516.5,,0.0,UNKNOWN,,,
11,1921,5988,83,30,1958,6007,688.5,,0.0,UNKNOWN,,,
12,5806,5982,678,77,6151,6018,4968.5,,0.0,UNKNOWN,,,
13,4373,5973,55,68,4406,6007,505.5,,0.0,UNKNOWN,,,
14,2204,5973,66,91,2231,6017,769.5,,0.0,UNKNOWN,,,
15,5216,5972,108,33,5265,5988,788.5,,0.0,UNKNOWN,,,
16,1856,5970,78,21,1892,5979,570.5,,0.0,UNKNOWN,,,
17,4518,5929,73,129,4565,5995,1198.5,,0.0,UNKNOWN,,,
18,2385,5919,202,126,2483,5980,1805.5,,0.0,UNKNOWN,,,
19,1935,5897,39,79,1959,5932,503.5,,0.0,UNKNOWN,,,
20,1793,5882,70,58,1832,5914,682.0,,0.0,UNKNOWN,,,
21,6145,5879,140,43,6213,5904,1193.5,,0.0,UNKNOWN,,,
22,2206,5864,91,79,2254,5903,630.5,,0.0,UNKNOWN,,,
23,1446,5820,38,88,1465,5868,514.0,,0.0,UNKNOWN,,,
24,1519,5811,85,50,1563,5835,730.5,,0.0,UNKNOWN,,,
25,2984,5804,816,152,3396,5880,5399.5,,0.0,UNKNOWN,,,
26,5487,5802,59,136,5515,5872,1286.5,,0.0,UNKNOWN,,,
27,861,5796,99,89,911,5838,5780.5,,0.0,UNKNOWN,,,
28,1982,5788,73,44,2013,5809,506.0,,0.0,UNKNOWN,,,
29,3823,5783,56,148,3848,5857,1142.5,,0.0,UNKNOWN,,,
30,5827,5782,253,81,5954,5819,2321.0,,0.0,UNKNOWN,,,
31,1000,5778,79,155,1036,5850,1569.0,,0.0,UNKNOWN,,,
32,4536,5777,51,65,4553,5802,897.5,,0.0,UNKNOWN,,,
33,2813,5765,170,44,2891,5787,1315.5,,0.0,UNKNOWN,,,
34,1047,5763,51,104,1083,5824,1129.0,,0.0,UNKNOWN,,,
35,607,5753,69,73,643,5784,546.5,,0.0,UNKNOWN,,,
36,2118,5752,246,142,2236,5815,2456.0,,0.0,UNKNOWN,,,
37,3611,5739,137,23,3682,5752,903.0,,0.0,UNKNOWN,,,
38,5789,5723,430,136,6010,5791,3556.0,,0.0,UNKNOWN,,,
39,4793,5720,127,126,4852,5781,1260.0,,0.0,UNKNOWN,,,
40,5683,5718,105,23,5739,5731,891.0,,0.0,UNKNOWN,,,
41,5583,5718,241,77,5708,5768,2535.0,,0.0,UNKNOWN,,,
42,513,5704,39,90,531,5743,949.0,,0.0,UNKNOWN,,,
43,5440,5701,108,20,5490,5708,792.5,,0.0,UNKNOWN,,,
44,5625,5694,57,39,5654,5714,502.0,,0.0,UNKNOWN,,,
