parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,2301,8667,3024,21,3800,8682,16166.0,,0.0,UNKNOWN,,,
1,5330,8663,335,24,5496,8680,1806.0,,0.0,UNKNOWN,,,
2,6099,8652,147,36,6165,8671,778.0,,0.0,UNKNOWN,,,
3,495,8376,142,78,565,8412,1136.5,,0.0,UNKNOWN,,,
4,311,8331,106,45,360,8352,747.5,,0.0,UNKNOWN,,,
5,839,8328,71,24,876,8340,518.0,,0.0,UNKNOWN,,,
6,562,8299,55,24,592,8312,569.0,,0.0,UNKNOWN,,,
7,0,8269,70,172,15,8336,1231.0,,0.0,UNKNOWN,,,
8,510,8263,66,28,535,8278,573.0,,0.0,UNKNOWN,,,
9,2743,8216,124,212,2806,8323,1326.5,,0.0,UNKNOWN,,,
10,3553,8195,29,86,3571,8236,611.5,,0.0,UNKNOWN,,,
11,3619,8190,22,112,3631,8239,703.0,,0.0,UNKNOWN,,,
12,4485,8188,50,49,4516,8217,515.5,,0.0,UNKNOWN,,,
13,622,8188,63,40,657,8212,517.5,,0.0,UNKNOWN,,,
14,1236,8144,43,106,1257,8193,588.5,,0.0,UNKNOWN,,,
15,4600,8122,27,86,4615,8164,658.5,,0.0,UNKNOWN,,,
16,4520,8083,30,104,4537,8126,715.0,,0.0,UNKNOWN,,,
17,5202,8074,48,41,5223,8099,609.0,,0.0,UNKNOWN,,,
18,3088,8073,252,434,3238,8242,2811.5,,0.0,UNKNOWN,,,
19,5230,8023,49,59,5249,8056,827.0,,0.0,UNKNOWN,,,
20,5295,8020,30,110,5308,8076,761.0,,0.0,UNKNOWN,,,
21,681,8004,48,51,701,8030,658.5,,0.0,UNKNOWN,,,
22,889,7956,76,61,933,7993,785.5,,0.0,UNKNOWN,,,
23,1151,7955,61,80,1187,7996,578.5,,0.0,UNKNOWN,,,
24,4655,7952,73,73,4687,7984,504.0,,0.0,UNKNOWN,,,
25,1357,7947,42,91,1381,7994,846.5,,0.0,UNKNOWN,,,
26,6,7942,96,357,24,8143,2495.5,,0.0,UNKNOWN,,,
27,2165,7931,123,57,2234,7962,959.5,,0.0,UNKNOWN,,,
28,1282,7909,28,120,1297,7972,727.0,,0.0,UNKNOWN,,,
29,1000,7907,35,46,1017,7924,802.0,,0.0,UNKNOWN,,,
30,2070,7879,87,140,2104,7946,1494.5,,0.0,UNKNOWN,,,
31,1108,7870,100,38,1162,7893,684.0,,0.0,UNKNOWN,,,
32,4848,7851,82,109,4889,7901,831.5,,0.0,UNKNOWN,,,
33,1118,7841,47,33,1146,7854,544.0,,0.0,UNKNOWN,,,
34,4801,7832,194,219,4899,7943,1943.5,,0.0,UNKNOWN,,,
35,655,7832,67,27,692,7847,613.5,,0.0,UNKNOWN,,,
36,931,7825,80,73,978,7867,917.0,,0.0,UNKNOWN,,,
37,902,7817,77,53,949,7848,788.0,,0.0,UNKNOWN,,,
38,1346,7815,45,131,1366,7881,1031.0,,0.0,UNKNOWN,,,
39,568,7812,88,84,600,7853,727.5,,0.0,UNKNOWN,,,
40,3732,7791,41,72,3752,7820,695.5,2,0.694,INVALID,,2,
41,1081,7789,32,78,1098,7827,670.0,,0.0,UNKNOWN,,,
42,3855,7786,56,64,3885,7807,620.5,,0.0,UNKNOWN,,,
43,3794,7784,54,77,3819,7822,915.0,,0.0,UNKNOWN,,,
44,3378,7781,140,224,3444,7897,1623.0,,0.0,UNKNOWN,,,
45,779,7742,56,41,801,7762,979.5,,0.0,UNKNOWN,,,
46,5640,7709,24,72,5653,7739,530.5,,0.0,UNKNOWN,,,
47,1092,7709,95,42,1147,7732,959.5,,0.0,UNKNOWN,,,
48,4996,7706,50,62,5023,7736,531.5,,0.0,UNKNOWN,,,
49,1187,7699,43,76,1208,7742,891.5,,0.0,UNKNOWN,,,
50,492,7685,44,102,508,7732,994.0,,0.0,UNKNOWN,,,
51,3763,7678,177,40,3838,7698,784.0,,0.0,UNKNOWN,,,
52,1056,7674,45,30,1077,7686,553.0,,0.0,UNKNOWN,,,
53,1406,7653,57,230,1434,7781,1559.5,,0.0,UNKNOWN,,,
54,837,7650,64,54,873,7675,850.5,,0.0,UNKNOWN,,,
55,1105,7644,51,72,1136,7676,539.5,5,0.368,INVALID,,5,
56,722,7642,45,57,747,7669,756.5,,0.0,UNKNOWN,,,
57,5278,7636,39,69,5291,7662,617.0,2,0.476,INVALID,,2,
58,1768,7621,54,104,1793,7670,1348.5,,0.0,UNKNOWN,,,
59,1642,7615,54,35,1670,7630,559.0,,0.0,UNKNOWN,,,
60,4324,7611,232,245,4435,7731,2262.5,,0.0,UNKNOWN,,,
61,659,7605,51,50,687,7631,506.0,,0.0,UNKNOWN,,,
62,3984,7603,313,68,4159,7634,1730.0,,0.0,UNKNOWN,,,
63,5241,7599,38,60,5253,7622,740.0,,0.0,UNKNOWN,,,
64,746,7596,83,27,790,7611,850.0,,0.0,UNKNOWN,,,
65,993,7586,90,71,1045,7630,1138.0,,0.0,UNKNOWN,,,
66,646,7578,36,58,666,7605,513.5,,0.0,UNKNOWN,,,
67,821,7575,69,91,863,7617,1249.5,,0.0,UNKNOWN,,,
68,5414,7574,104,145,5464,7647,1316.5,,0.0,UNKNOWN,,,
69,2236,7562,423,512,2443,7815,5568.0,,0.0,UNKNOWN,,,
70,903,7556,62,47,930,7582,824.5,,0.0,UNKNOWN,,,
71,1110,7546,107,59,1159,7580,1205.0,,0.0,UNKNOWN,,,
72,5038,7537,221,269,5144,7666,2406.0,,0.0,UNKNOWN,,,
73,1241,7535,100,79,1301,7584,1083.5,,0.0,UNKNOWN,,,
74,444,7510,76,27,484,7525,690.0,,0.0,UNKNOWN,,,
75,1254,7499,54,56,1283,7528,504.0,,0.0,UNKNOWN,,,
76,1036,7497,83,33,1080,7516,692.5,,0.0,UNKNOWN,,,
77,370,7488,64,88,397,7527,778.5,,0.0,UNKNOWN,,,
78,818,7461,123,52,884,7490,1379.0,,0.0,UNKNOWN,,,
79,1015,7440,62,56,1044,7467,1080.0,2,0.473,INVALID,,2,
80,2051,7420,55,52,2075,7449,625.5,,0.0,UNKNOWN,,,
81,356,7420,35,57,368,7444,522.5,0,0.667,INVALID,,0,
82,5369,7419,134,132,5434,7485,1200.5,,0.0,UNKNOWN,,,
