parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,6679,6391,1284,52,7315,6435,6631.5,,0.0,UNKNOWN,,,
1,5529,6146,85,38,5569,6168,533.0,,0.0,UNKNOWN,,,
2,6930,6110,95,31,6979,6131,543.0,,0.0,UNKNOWN,,,
3,5691,6105,57,74,5720,6145,516.5,,0.0,UNKNOWN,,,
4,7182,6045,33,88,7201,6089,607.0,,0.0,UNKNOWN,,,
5,7033,5981,54,113,7068,6034,699.0,,0.0,UNKNOWN,,,
6,2717,5929,59,119,2744,5986,609.0,,0.0,UNKNOWN,,,
7,2501,5882,50,52,2532,5907,512.0,,0.0,UNKNOWN,,,
8,2776,5855,77,117,2816,5907,568.5,,0.0,UNKNOWN,,,
9,6624,5821,210,52,6728,5850,1142.5,,0.0,UNKNOWN,,,
10,1287,5810,121,24,1346,5817,607.0,,0.0,UNKNOWN,,,
11,7733,5801,146,60,7804,5828,697.5,,0.0,UNKNOWN,,,
12,2576,5773,188,24,2666,5782,961.0,,0.0,UNKNOWN,,,
13,5391,5768,230,21,5506,5777,1372.5,,0.0,UNKNOWN,,,
14,2099,5760,206,47,2199,5780,945.0,,0.0,UNKNOWN,,,
15,6993,5756,162,34,7071,5770,927.0,,0.0,UNKNOWN,,,
16,7528,5754,203,49,7630,5775,894.0,,0.0,UNKNOWN,,,
17,7157,5740,265,21,7290,5747,1267.5,,0.0,UNKNOWN,,,
18,2902,5720,68,105,2934,5773,737.0,,0.0,UNKNOWN,,,
19,7716,5719,210,67,7822,5750,1101.5,,0.0,UNKNOWN,,,
20,6745,5713,216,54,6859,5735,1005.0,,0.0,UNKNOWN,,,
21,6967,5687,278,32,7098,5699,1438.0,,0.0,UNKNOWN,,,
22,7360,5683,256,22,7488,5690,1317.5,,0.0,UNKNOWN,,,
23,2853,5597,153,257,2926,5728,1650.0,,0.0,UNKNOWN,,,
24,7704,5585,27,127,7716,5647,666.0,,0.0,UNKNOWN,,,
25,7319,5558,62,57,7345,5590,559.5,,0.0,UNKNOWN,,,
