parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,1027,6036,44,59,1048,6065,714.0,,0.0,UNKNOWN,,,
1,7306,5836,58,94,7331,5880,1980.0,,0.0,UNKNOWN,,,
2,7247,5709,38,134,7267,5777,1044.0,,0.0,UNKNOWN,,,
3,4248,5693,84,113,4288,5744,658.5,,0.0,UNKNOWN,,,
4,7339,5672,66,77,7370,5713,533.0,,0.0,UNKNOWN,,,
5,2640,5663,96,85,2692,5703,825.0,,0.0,UNKNOWN,,,
6,3250,5647,87,63,3297,5679,564.5,,0.0,UNKNOWN,,,
7,7178,5646,36,122,7195,5703,1058.0,,0.0,UNKNOWN,,,
8,3075,5637,111,31,3129,5652,659.5,,0.0,UNKNOWN,,,
9,5483,5630,37,97,5506,5676,538.0,,0.0,UNKNOWN,,,
10,3349,5599,45,93,3369,5645,671.0,,0.0,UNKNOWN,,,
11,4448,5563,129,151,4507,5638,1058.5,,0.0,UNKNOWN,,,
12,7099,5552,75,95,7134,5595,686.5,,0.0,UNKNOWN,,,
13,2536,5548,39,89,2554,5593,530.0,,0.0,UNKNOWN,,,
14,6982,5511,30,97,6996,5556,511.5,,0.0,UNKNOWN,,,
15,2560,5489,49,83,2585,5528,608.0,,0.0,UNKNOWN,,,
16,7560,5449,20,77,7569,5484,509.0,,0.0,UNKNOWN,,,
17,2553,5449,110,27,2616,5461,762.0,,0.0,UNKNOWN,,,
18,3557,5440,379,455,3732,5671,3093.5,,0.0,UNKNOWN,,,
19,3339,5429,66,117,3374,5484,901.5,,0.0,UNKNOWN,,,
20,7217,5423,74,170,7261,5502,1377.5,,0.0,UNKNOWN,,,
21,3036,5415,146,32,3107,5429,1038.5,,0.0,UNKNOWN,,,
22,4369,5414,81,147,4405,5488,932.0,,0.0,UNKNOWN,,,
23,7008,5393,56,97,7033,5440,540.5,,0.0,UNKNOWN,,,
24,7260,5389,37,112,7274,5442,628.0,,0.0,UNKNOWN,,,
25,2424,5362,113,184,2475,5457,1374.5,,0.0,UNKNOWN,,,
26,2669,5356,43,104,2689,5403,785.0,,0.0,UNKNOWN,,,
27,2587,5321,72,52,2623,5346,798.0,,0.0,UNKNOWN,,,
28,6891,5303,54,81,6917,5341,500.0,,0.0,UNKNOWN,,,
29,3180,5303,84,65,3220,5338,877.5,,0.0,UNKNOWN,,,
30,7122,5294,77,106,7157,5351,1164.0,,0.0,UNKNOWN,,,
31,2704,5286,23,69,2714,5319,504.5,,0.0,UNKNOWN,,,
32,4289,5282,23,122,4300,5348,809.0,,0.0,UNKNOWN,,,
33,7527,5281,29,144,7540,5349,1089.5,,0.0,UNKNOWN,,,
34,2584,5272,67,37,2614,5293,531.5,,0.0,UNKNOWN,,,
35,7559,5268,67,194,7596,5361,1381.5,,0.0,UNKNOWN,,,
36,4144,5265,111,324,4185,5433,1566.5,,0.0,UNKNOWN,,,
37,3358,5248,58,129,3387,5313,989.5,,0.0,UNKNOWN,,,
38,2998,5247,36,120,3015,5303,815.0,,0.0,UNKNOWN,,,
39,3459,5241,69,141,3491,5309,971.5,,0.0,UNKNOWN,,,
40,6009,5238,29,116,6027,5296,773.0,,0.0,UNKNOWN,,,
41,4176,5234,62,186,4204,5332,1310.0,,0.0,UNKNOWN,,,
42,4891,5231,49,50,4913,5254,501.5,,0.0,UNKNOWN,,,
43,2788,5229,68,39,2823,5250,635.0,,0.0,UNKNOWN,,,
44,6830,5213,65,87,6863,5256,573.5,,0.0,UNKNOWN,,,
45,7426,5168,96,63,7478,5196,786.0,,0.0,UNKNOWN,,,
46,7211,5153,119,120,7283,5208,1218.0,,0.0,UNKNOWN,,,
47,4162,5141,20,90,4171,5188,555.0,,0.0,UNKNOWN,,,
48,6925,5124,30,76,6939,5164,501.5,,0.0,UNKNOWN,,,
49,6974,5115,108,90,7030,5156,654.5,,0.0,UNKNOWN,,,
50,6960,5107,58,37,6984,5130,580.0,,0.0,UNKNOWN,,,
51,7070,5105,94,63,7114,5134,545.5,,0.0,UNKNOWN,,,
52,2121,5100,119,47,2177,5131,725.0,,0.0,UNKNOWN,,,
53,4307,5097,76,64,4345,5132,796.5,,0.0,UNKNOWN,,,
54,6759,5095,63,97,6789,5144,567.0,,0.0,UNKNOWN,,,
55,7252,5079,63,74,7286,5115,629.0,,0.0,UNKNOWN,,,
56,4016,5078,254,539,4095,5365,3473.5,,0.0,UNKNOWN,,,
57,7298,5072,125,68,7358,5111,1118.0,,0.0,UNKNOWN,,,
58,3879,5068,96,380,3933,5255,2118.5,,0.0,UNKNOWN,,,
59,4788,5067,162,46,4866,5087,1029.0,,0.0,UNKNOWN,,,
60,6365,5046,189,103,6460,5094,1221.0,,0.0,UNKNOWN,,,
61,7033,5042,53,42,7056,5056,613.5,,0.0,UNKNOWN,,,
62,2434,5036,21,89,2442,5080,522.0,,0.0,UNKNOWN,,,
63,6255,5026,106,25,6312,5035,646.5,,0.0,UNKNOWN,,,
64,6796,5020,53,93,6821,5067,666.0,,0.0,UNKNOWN,,,
65,6029,4998,100,20,6079,5006,570.0,,0.0,UNKNOWN,,,
66,6743,4966,57,137,6768,5033,698.5,,0.0,UNKNOWN,,,
67,3862,4955,20,109,3869,5010,562.0,,0.0,UNKNOWN,,,
68,4645,4954,69,126,4679,5020,877.0,,0.0,UNKNOWN,,,
69,4290,4951,40,148,4309,5022,1078.0,,0.0,UNKNOWN,,,
70,7468,4949,36,90,7486,4993,619.5,,0.0,UNKNOWN,,,
71,4161,4935,45,203,4178,5031,1498.0,,0.0,UNKNOWN,,,
72,6775,4934,24,88,6785,4977,572.5,,0.0,UNKNOWN,,,
73,7252,4933,100,91,7302,4974,698.5,,0.0,UNKNOWN,,,
74,2765,4932,51,64,2795,4968,683.0,,0.0,UNKNOWN,,,
75,6851,4924,31,91,6864,4964,698.0,,0.0,UNKNOWN,,,
76,2385,4920,39,241,2401,5036,1650.0,,0.0,UNKNOWN,,,
77,3644,4918,58,100,3672,4967,569.0,,0.0,UNKNOWN,,,
78,4483,4915,49,581,4500,5205,2801.0,,0.0,UNKNOWN,,,
79,7572,4914,44,44,7592,4932,543.5,,0.0,UNKNOWN,,,
80,2746,4908,60,45,2773,4930,710.0,,0.0,UNKNOWN,,,
81,7065,4907,173,118,7150,4964,1409.5,,0.0,UNKNOWN,,,
82,2697,4895,42,46,2717,4920,1237.5,5,0.687,INVALID,,5,
83,2535,4888,333,132,2695,4972,2324.0,,0.0,UNKNOWN,,,
84,4326,4881,22,67,4336,4914,516.0,,0.0,UNKNOWN,,,
85,2090,4875,75,73,2117,4923,550.5,,0.0,UNKNOWN,,,
86,4193,4871,26,59,4207,4900,517.0,,0.0,UNKNOWN,,,
87,2905,4865,199,55,3002,4890,1545.0,,0.0,UNKNOWN,,,
88,3357,4863,135,58,3423,4893,1017.0,,0.0,UNKNOWN,,,
89,7504,4847,39,83,7519,4885,653.5,,0.0,UNKNOWN,,,
90,5811,4847,54,53,5840,4871,536.0,,0.0,UNKNOWN,,,
91,3346,4844,67,26,3384,4854,565.5,,0.0,UNKNOWN,,,
92,3107,4844,88,27,3149,4858,561.5,,0.0,UNKNOWN,,,
93,2845,4840,32,71,2861,4871,538.5,,0.0,UNKNOWN,,,
