parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,2265,6147,4098,49,4285,6171,26810.0,,0.0,UNKNOWN,,,
1,7001,5996,539,158,7307,6127,4681.0,,0.0,UNKNOWN,,,
2,5253,5984,191,24,5355,5999,1011.5,,0.0,UNKNOWN,,,
3,3285,5962,62,62,3321,5987,755.5,,0.0,UNKNOWN,,,
4,2885,5948,219,99,3002,5997,1574.0,,0.0,UNKNOWN,,,
5,3354,5940,62,60,3388,5967,614.5,,0.0,UNKNOWN,,,
6,3426,5939,45,101,3442,5986,733.5,,0.0,UNKNOWN,,,
7,3199,5933,93,65,3247,5965,661.0,,0.0,UNKNOWN,,,
8,2722,5919,124,45,2782,5941,730.0,,0.0,UNKNOWN,,,
9,3712,5918,61,58,3743,5948,590.5,,0.0,UNKNOWN,,,
10,4361,5902,49,49,4387,5924,570.5,,0.0,UNKNOWN,,,
11,3929,5892,65,43,3959,5913,554.0,,0.0,UNKNOWN,,,
12,2682,5890,150,44,2757,5917,884.0,,0.0,UNKNOWN,,,
13,4852,5832,47,58,4879,5854,567.5,,0.0,UNKNOWN,,,
14,3445,5830,581,61,3744,5856,3496.0,,0.0,UNKNOWN,,,
15,4794,5827,39,59,4814,5852,549.0,,0.0,UNKNOWN,,,
16,4734,5827,45,65,4752,5855,699.0,,0.0,UNKNOWN,,,
17,7349,5820,109,223,7406,5931,1771.5,,0.0,UNKNOWN,,,
18,4032,5804,79,59,4072,5829,688.0,,0.0,UNKNOWN,,,
19,6306,5760,212,67,6411,5791,1051.5,,0.0,UNKNOWN,,,
20,2606,5754,106,86,2655,5788,640.0,,0.0,UNKNOWN,,,
21,4129,5753,305,48,4272,5777,1873.0,,0.0,UNKNOWN,,,
22,7257,5740,163,73,7337,5773,776.0,,0.0,UNKNOWN,,,
23,7464,5737,73,256,7518,5839,1940.5,,0.0,UNKNOWN,,,
24,5895,5732,53,31,5914,5747,678.0,,0.0,UNKNOWN,,,
25,2878,5728,184,143,2964,5796,1039.5,,0.0,UNKNOWN,,,
26,5965,5726,80,62,6008,5759,586.5,,0.0,UNKNOWN,,,
27,6351,5725,152,34,6425,5747,762.5,,0.0,UNKNOWN,,,
28,5090,5720,128,157,5158,5792,1037.5,,0.0,UNKNOWN,,,
29,7179,5703,75,82,7221,5732,700.0,,0.0,UNKNOWN,,,
30,2877,5700,174,145,2959,5766,1132.5,,0.0,UNKNOWN,,,
31,5513,5697,52,64,5537,5732,730.5,,0.0,UNKNOWN,,,
32,5454,5693,48,65,5478,5719,737.0,2,0.421,INVALID,,2,
33,2814,5689,33,154,2831,5771,714.5,,0.0,UNKNOWN,,,
34,1347,5686,233,60,1475,5713,1282.0,,0.0,UNKNOWN,,,
35,4109,5675,101,123,4159,5735,1031.5,,0.0,UNKNOWN,,,
36,6575,5674,106,29,6627,5689,590.0,,0.0,UNKNOWN,,,
37,6070,5670,48,125,6102,5729,1008.5,,0.0,UNKNOWN,,,
38,5392,5663,50,83,5421,5705,765.0,,0.0,UNKNOWN,,,
39,5325,5659,30,78,5338,5701,605.0,,0.0,UNKNOWN,,,
40,6871,5653,46,101,6903,5705,648.5,,0.0,UNKNOWN,,,
41,3053,5652,90,49,3095,5674,513.5,,0.0,UNKNOWN,,,
42,6767,5650,118,102,6832,5711,1223.0,,0.0,UNKNOWN,,,
43,7004,5645,171,64,7091,5672,1206.5,,0.0,UNKNOWN,,,
44,5575,5636,172,215,5659,5741,1584.5,,0.0,UNKNOWN,,,
45,1216,5636,320,61,1391,5666,2222.0,,0.0,UNKNOWN,,,
46,3528,5620,131,119,3598,5683,942.5,,0.0,UNKNOWN,,,
47,6790,5613,52,89,6810,5658,683.0,,0.0,UNKNOWN,,,
48,3105,5608,428,342,3337,5774,3786.5,,0.0,UNKNOWN,,,
49,7001,5579,146,61,7068,5602,1163.0,,0.0,UNKNOWN,,,
50,2795,5579,24,105,2806,5633,657.5,,0.0,UNKNOWN,,,
51,4511,5576,595,159,4805,5655,3862.5,,0.0,UNKNOWN,,,
52,3553,5567,97,77,3598,5605,765.0,,0.0,UNKNOWN,,,
53,5126,5523,150,49,5202,5546,944.0,,0.0,UNKNOWN,,,
54,1274,5518,111,89,1329,5563,7381.5,,0.0,UNKNOWN,,,
55,3682,5508,85,82,3721,5548,522.0,,0.0,UNKNOWN,,,
56,5746,5502,85,132,5793,5565,858.0,,0.0,UNKNOWN,,,
57,2847,5481,161,65,2925,5513,1123.5,,0.0,UNKNOWN,,,
58,2658,5473,118,40,2714,5496,789.5,,0.0,UNKNOWN,,,
59,6099,5463,75,65,6128,5490,1144.5,,0.0,UNKNOWN,,,
60,5978,5443,83,125,6028,5508,1830.5,,0.0,UNKNOWN,,,
61,3580,5442,124,123,3647,5497,1177.5,,0.0,UNKNOWN,,,
62,2924,5434,100,50,2963,5463,840.5,,0.0,UNKNOWN,,,
63,4208,5423,193,248,4307,5546,2058.0,,0.0,UNKNOWN,,,
64,6152,5409,67,66,6176,5447,801.0,,0.0,UNKNOWN,,,
65,6388,5407,232,669,6513,5647,5897.5,,0.0,UNKNOWN,,,
66,4186,5391,61,56,4218,5421,691.5,,0.0,UNKNOWN,,,
67,6215,5384,72,45,6242,5408,1001.0,5,0.339,INVALID,,5,
68,3014,5365,184,119,3101,5429,1525.5,,0.0,UNKNOWN,,,
69,3881,5358,121,78,3942,5394,841.5,,0.0,UNKNOWN,,,
70,3705,5358,109,86,3751,5402,808.5,,0.0,UNKNOWN,,,
71,5379,5352,280,127,5513,5416,2107.0,,0.0,UNKNOWN,,,
72,6631,5324,96,56,6678,5353,924.0,,0.0,UNKNOWN,,,
73,5517,5317,606,815,5790,5631,6968.0,0,0.524,INVALID,,0,
74,5731,5315,80,23,5771,5326,509.5,,0.0,UNKNOWN,,,
75,4002,5310,74,52,4038,5336,551.5,,0.0,UNKNOWN,,,
76,5843,5309,168,161,5911,5381,2019.0,,0.0,UNKNOWN,,,
77,5816,5297,134,27,5880,5310,961.5,,0.0,UNKNOWN,,,
78,6727,5289,73,69,6756,5315,1038.0,,0.0,UNKNOWN,,,
79,6350,5277,125,59,6414,5311,784.5,,0.0,UNKNOWN,,,
80,3192,5269,59,87,3225,5316,553.0,,0.0,UNKNOWN,,,
81,6771,5262,59,39,6803,5278,672.0,,0.0,UNKNOWN,,,
82,3929,5235,119,62,3991,5264,1197.0,,0.0,UNKNOWN,,,
83,6097,5183,44,96,6121,5226,694.5,,0.0,UNKNOWN,,,
84,4499,5168,110,134,4549,5236,869.5,,0.0,UNKNOWN,,,
85,6692,5155,34,28,6708,5168,623.5,,0.0,UNKNOWN,,,
86,6849,5153,185,136,6923,5224,1520.5,,0.0,UNKNOWN,,,
87,5285,5137,48,56,5310,5167,572.0,,0.0,UNKNOWN,,,
88,2026,5131,28,70,2042,5161,606.0,,0.0,UNKNOWN,,,
89,4202,5122,86,89,4245,5168,677.5,,0.0,UNKNOWN,,,
90,4608,5102,42,67,4631,5133,506.5,,0.0,UNKNOWN,,,
91,6135,5089,155,202,6195,5174,2150.5,,0.0,UNKNOWN,,,
92,1817,5086,31,61,1828,5114,526.5,,0.0,UNKNOWN,,,
93,7019,5082,114,88,7089,5108,1142.5,,0.0,UNKNOWN,,,
94,6755,5080,118,26,6815,5097,618.0,,0.0,UNKNOWN,,,
95,3642,5068,23,69,3653,5101,618.5,,0.0,UNKNOWN,,,
96,3716,5066,57,56,3742,5098,762.5,,0.0,UNKNOWN,,,
97,4123,5051,135,146,4200,5123,1099.5,,0.0,UNKNOWN,,,
98,3569,5029,38,50,3591,5054,637.5,,0.0,UNKNOWN,,,
99,3179,5026,23,124,3190,5086,662.5,,0.0,UNKNOWN,,,
100,3225,5025,31,179,3236,5111,1338.0,,0.0,UNKNOWN,,,
101,1994,5024,73,34,2039,5041,516.5,,0.0,UNKNOWN,,,
102,6728,5017,164,31,6810,5035,800.5,,0.0,UNKNOWN,,,
103,6287,5017,94,91,6338,5061,1146.5,,0.0,UNKNOWN,,,
104,1672,5001,77,73,1715,5038,805.5,,0.0,UNKNOWN,,,
105,6391,4996,156,426,6467,5210,3615.0,,0.0,UNKNOWN,,,
106,7079,4989,83,58,7119,5017,568.0,,0.0,UNKNOWN,,,
107,1798,4964,95,21,1843,4974,829.5,,0.0,UNKNOWN,,,
108,4880,4962,134,25,4947,4976,705.5,,0.0,UNKNOWN,,,
109,6924,4957,234,133,7017,5013,2090.5,,0.0,UNKNOWN,,,
110,1286,4940,60,62,1318,4971,669.0,,0.0,UNKNOWN,,,
111,5762,4938,187,312,5849,5092,2923.5,,0.0,UNKNOWN,,,
112,4260,4934,60,114,4287,4995,815.0,,0.0,UNKNOWN,,,
113,6404,4897,69,76,6436,4930,609.5,,0.0,UNKNOWN,,,
114,4657,4869,148,214,4720,4978,2028.5,,0.0,UNKNOWN,,,
115,1709,4867,47,49,1735,4896,587.0,,0.0,UNKNOWN,,,
116,1788,4860,76,88,1826,4910,753.0,,0.0,UNKNOWN,,,
117,2015,4841,135,81,2093,4894,1278.0,,0.0,UNKNOWN,,,
118,1795,4835,47,61,1823,4866,659.5,,0.0,UNKNOWN,,,
119,3229,4825,36,143,3245,4896,916.0,,0.0,UNKNOWN,,,
120,3390,4824,38,97,3405,4871,609.5,,0.0,UNKNOWN,,,
121,2038,4807,39,53,2058,4832,611.5,,0.0,UNKNOWN,,,
122,6930,4803,207,45,7037,4825,1455.5,,0.0,UNKNOWN,,,
123,6587,4803,102,49,6640,4826,882.5,,0.0,UNKNOWN,,,
124,6905,4782,42,71,6925,4817,672.0,,0.0,UNKNOWN,,,
125,1154,4774,43,82,1171,4815,812.0,,0.0,UNKNOWN,,,
126,4604,4753,95,99,4649,4805,1039.5,,0.0,UNKNOWN,,,
127,1945,4739,35,61,1964,4768,586.5,,0.0,UNKNOWN,,,
128,4796,4688,81,156,4835,4767,1379.0,,0.0,UNKNOWN,,,
129,1825,4683,49,66,1852,4714,615.5,,0.0,UNKNOWN,,,
130,4556,4666,159,86,4631,4713,1338.0,,0.0,UNKNOWN,,,
131,6403,4661,43,63,6422,4690,826.5,2,0.362,INVALID,,2,
132,6326,4661,52,68,6348,4697,755.0,,0.0,UNKNOWN,,,
133,7332,4658,99,28,7379,4666,575.5,,0.0,UNKNOWN,,,
134,6722,4642,123,122,6779,4693,1004.5,,0.0,UNKNOWN,,,
135,6919,4630,129,77,6988,4675,837.5,,0.0,UNKNOWN,,,
136,4886,4624,206,54,4977,4655,1246.0,,0.0,UNKNOWN,,,
137,3659,4623,776,136,4062,4711,5771.5,,0.0,UNKNOWN,,,
138,6142,4615,672,566,6463,4892,6136.5,,0.0,UNKNOWN,,,
139,7039,4610,128,129,7105,4678,1043.5,,0.0,UNKNOWN,,,
140,4717,4610,177,60,4811,4637,1456.0,,0.0,UNKNOWN,,,
141,4957,4559,158,33,5033,4574,927.5,,0.0,UNKNOWN,,,
142,2150,4556,32,82,2160,4598,685.5,,0.0,UNKNOWN,,,
143,6862,4549,103,88,6920,4598,879.5,,0.0,UNKNOWN,,,
144,5970,4543,203,342,6064,4726,2950.0,,0.0,UNKNOWN,,,
145,5113,4523,317,99,5264,4573,1936.0,,0.0,UNKNOWN,,,
146,3388,4502,36,113,3402,4562,576.0,,0.0,UNKNOWN,,,
147,5298,4465,121,39,5362,4482,801.0,,0.0,UNKNOWN,,,
148,5458,4464,282,66,5591,4497,2229.5,,0.0,UNKNOWN,,,
149,4743,4463,151,143,4817,4530,1687.5,,0.0,UNKNOWN,,,
150,3473,4460,78,64,3517,4479,557.5,,0.0,UNKNOWN,,,
151,5738,4435,127,35,5808,4451,1165.0,,0.0,UNKNOWN,,,
152,4763,4398,193,178,4866,4482,1505.5,,0.0,UNKNOWN,,,
153,6933,4392,48,129,6957,4454,837.5,,0.0,UNKNOWN,,,
154,5867,4383,383,65,6054,4416,3340.5,,0.0,UNKNOWN,,,
155,5420,4348,703,122,5761,4402,5316.5,,0.0,UNKNOWN,,,
156,6176,4330,256,206,6288,4406,1981.0,,0.0,UNKNOWN,,,
