parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,2589,6518,3456,47,4308,6545,23085.5,,0.0,UNKNOWN,,,
1,7677,6502,100,20,7721,6514,509.5,,0.0,UNKNOWN,,,
2,6046,6497,1501,39,6811,6525,9718.5,,0.0,UNKNOWN,,,
3,3584,6396,59,56,3608,6422,570.0,,0.0,UNKNOWN,,,
4,3604,6378,92,58,3654,6406,555.0,,0.0,UNKNOWN,,,
5,4585,6311,119,49,4646,6332,756.0,,0.0,UNKNOWN,,,
6,827,6307,100,22,892,6318,552.5,,0.0,UNKNOWN,,,
7,3380,6295,116,71,3437,6333,772.5,,0.0,UNKNOWN,,,
8,549,6295,125,38,605,6320,611.0,,0.0,UNKNOWN,,,
9,4195,6280,53,64,4222,6309,840.5,,0.0,UNKNOWN,,,
10,4140,6277,50,55,4163,6305,599.5,,0.0,UNKNOWN,,,
11,3750,6269,196,168,3823,6347,2331.0,,0.0,UNKNOWN,,,
12,5558,6267,151,122,5637,6330,1178.5,,0.0,UNKNOWN,,,
13,1225,6263,95,79,1284,6293,868.0,,0.0,UNKNOWN,,,
14,6202,6262,42,46,6221,6284,594.0,0,0.61,INVALID,,0,
15,4510,6259,155,33,4587,6270,800.0,,0.0,UNKNOWN,,,
16,3249,6257,129,115,3328,6296,1053.0,,0.0,UNKNOWN,,,
17,5059,6236,59,104,5082,6285,745.0,,0.0,UNKNOWN,,,
18,3156,6227,82,28,3196,6240,592.5,,0.0,UNKNOWN,,,
19,5389,6211,121,127,5445,6274,919.5,,0.0,UNKNOWN,,,
20,4062,6209,404,115,4267,6258,2476.0,,0.0,UNKNOWN,,,
21,4213,6193,260,78,4343,6238,1536.5,,0.0,UNKNOWN,,,
22,6087,6180,71,157,6121,6266,1002.5,,0.0,UNKNOWN,,,
23,6447,6168,76,63,6485,6198,571.5,,0.0,UNKNOWN,,,
24,5038,6166,93,65,5080,6201,1113.5,,0.0,UNKNOWN,,,
25,3661,6145,55,37,3687,6166,516.5,,0.0,UNKNOWN,,,
26,3995,6130,179,72,4087,6169,1291.5,,0.0,UNKNOWN,,,
27,3196,6129,323,120,3359,6194,2264.0,,0.0,UNKNOWN,,,
28,2269,6125,70,42,2301,6148,647.5,,0.0,UNKNOWN,,,
29,1788,6125,41,129,1809,6190,943.5,,0.0,UNKNOWN,,,
30,6316,6122,60,50,6343,6145,853.5,0,0.389,INVALID,,0,
31,3742,6120,59,99,3770,6180,847.5,,0.0,UNKNOWN,,,
32,3773,6114,73,138,3807,6180,990.0,,0.0,UNKNOWN,,,
33,6761,6109,35,45,6776,6131,1073.0,5,0.342,INVALID,,5,
34,5818,6100,47,50,5840,6122,618.5,,0.0,UNKNOWN,,,
35,6992,6098,29,72,7005,6134,504.5,,0.0,UNKNOWN,,,
36,1396,6096,80,46,1430,6117,595.5,,0.0,UNKNOWN,,,
37,2211,6088,90,33,2257,6107,533.0,,0.0,UNKNOWN,,,
38,701,6082,141,135,753,6128,1634.5,,0.0,UNKNOWN,,,
39,1328,6081,62,66,1358,6116,560.5,,0.0,UNKNOWN,,,
40,771,6075,121,191,830,6180,1358.0,,0.0,UNKNOWN,,,
41,541,6069,182,205,605,6164,3243.0,,0.0,UNKNOWN,,,
42,5619,6063,38,53,5642,6087,576.5,,0.0,UNKNOWN,,,
43,4923,6062,122,225,4994,6179,1490.0,,0.0,UNKNOWN,,,
44,5031,6045,54,27,5053,6057,506.0,,0.0,UNKNOWN,,,
45,7153,6035,51,54,7180,6064,517.5,,0.0,UNKNOWN,,,
46,2973,6028,118,53,3030,6052,745.5,,0.0,UNKNOWN,,,
47,5234,6025,37,51,5257,6054,531.0,,0.0,UNKNOWN,,,
48,3433,6024,61,39,3463,6043,552.5,,0.0,UNKNOWN,,,
49,5189,6020,139,208,5256,6129,1777.0,,0.0,UNKNOWN,,,
50,4780,6020,38,202,4798,6121,1344.5,,0.0,UNKNOWN,,,
51,1333,6018,61,72,1352,6047,594.5,,0.0,UNKNOWN,,,
52,5297,6017,152,193,5370,6117,1525.5,,0.0,UNKNOWN,,,
53,5133,6011,76,187,5171,6093,1399.5,,0.0,UNKNOWN,,,
54,3134,5995,47,98,3155,6037,674.5,,0.0,UNKNOWN,,,
55,6156,5987,59,173,6183,6076,1175.5,,0.0,UNKNOWN,,,
56,4178,5975,90,69,4222,6010,615.5,,0.0,UNKNOWN,,,
57,1211,5975,79,78,1241,6008,1956.5,0,0.695,INVALID,,0,
58,1140,5975,41,39,1160,5996,530.0,,0.0,UNKNOWN,,,
59,3731,5971,208,104,3837,6026,1138.5,,0.0,UNKNOWN,,,
60,3030,5955,106,35,3080,5971,719.0,,0.0,UNKNOWN,,,
61,3217,5951,74,29,3248,5962,690.5,0,0.507,INVALID,,0,
62,5544,5940,232,213,5674,6047,2110.5,,0.0,UNKNOWN,,,
63,4177,5937,62,47,4203,5960,688.0,,0.0,UNKNOWN,,,
64,2282,5935,78,26,2323,5946,585.5,,0.0,UNKNOWN,,,
65,2791,5929,149,102,2864,5978,1044.5,,0.0,UNKNOWN,,,
66,1481,5928,62,25,1507,5938,585.5,,0.0,UNKNOWN,,,
67,1281,5918,46,50,1297,5940,579.5,,0.0,UNKNOWN,,,
68,4499,5914,152,20,4579,5925,658.0,,0.0,UNKNOWN,,,
69,5279,5910,41,33,5299,5927,981.0,,0.0,UNKNOWN,,,
70,1357,5904,58,44,1376,5930,552.0,,0.0,UNKNOWN,,,
71,3398,5898,84,33,3437,5915,521.5,,0.0,UNKNOWN,,,
72,1690,5897,43,57,1707,5918,506.5,,0.0,UNKNOWN,,,
73,876,5897,55,96,897,5940,929.0,,0.0,UNKNOWN,,,
74,826,5891,42,31,846,5906,547.0,,0.0,UNKNOWN,,,
75,5534,5888,484,221,5778,6002,3298.0,,0.0,UNKNOWN,,,
76,4983,5887,77,94,5023,5925,630.0,,0.0,UNKNOWN,,,
