parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
196,5143,4238,113,74,5202,4273,674.5,,0.0,UNKNOWN,,,
197,7696,4222,130,24,7756,4234,796.5,,0.0,UNKNOWN,,,
198,7921,4221,404,61,8123,4246,2045.0,,0.0,UNKNOWN,,,
199,781,4221,402,66,978,4240,2762.0,,0.0,UNKNOWN,,,
200,6735,4219,373,49,6898,4248,1942.5,,0.0,UNKNOWN,,,
201,3728,4219,93,49,3775,4243,592.5,,0.0,UNKNOWN,,,
202,5699,4212,40,63,5722,4240,520.0,,0.0,UNKNOWN,,,
203,4111,4209,190,87,4213,4251,1263.5,,0.0,UNKNOWN,,,
204,653,4203,31,68,668,4234,523.5,,0.0,UNKNOWN,,,
205,5871,4196,202,96,5974,4234,976.5,,0.0,UNKNOWN,,,
206,3091,4186,51,111,3110,4243,808.0,,0.0,UNKNOWN,,,
207,3106,4182,153,186,3177,4276,2464.0,,0.0,UNKNOWN,,,
208,4710,4176,218,27,4808,4186,1170.5,,0.0,UNKNOWN,,,
209,2294,4175,34,76,2310,4203,556.5,,0.0,UNKNOWN,,,
210,3125,4174,151,163,3204,4259,1713.5,,0.0,UNKNOWN,,,
211,6538,4173,54,41,6559,4200,550.5,,0.0,UNKNOWN,,,
212,2192,4151,26,123,2206,4206,1796.0,,0.0,UNKNOWN,,,
213,4250,4150,73,57,4283,4180,637.0,,0.0,UNKNOWN,,,
214,3597,4149,330,215,3762,4261,2513.0,,0.0,UNKNOWN,,,
215,4208,4148,43,74,4224,4191,803.5,,0.0,UNKNOWN,,,
216,6625,4147,489,75,6836,4192,3026.0,,0.0,UNKNOWN,,,
217,7605,4137,296,24,7738,4146,1834.0,,0.0,UNKNOWN,,,
218,7989,4135,464,92,8209,4182,2647.5,,0.0,UNKNOWN,,,
219,5612,4133,258,66,5732,4168,1287.5,,0.0,UNKNOWN,,,
220,5864,4126,54,39,5891,4142,607.0,0,0.312,INVALID,,0,
221,6018,4122,214,68,6131,4156,919.5,,0.0,UNKNOWN,,,
222,6870,4107,66,59,6904,4135,729.0,,0.0,UNKNOWN,,,
223,5956,4100,313,140,6101,4165,1954.0,,0.0,UNKNOWN,,,
224,6972,4099,59,58,7004,4126,596.0,,0.0,UNKNOWN,,,
225,573,4095,66,67,609,4128,593.5,,0.0,UNKNOWN,,,
226,7849,4089,88,61,7895,4117,677.5,,0.0,UNKNOWN,,,
227,2003,4089,75,105,2048,4153,1804.5,,0.0,UNKNOWN,,,
228,6321,4088,115,97,6396,4156,1110.5,,0.0,UNKNOWN,,,
229,5267,4086,340,41,5440,4110,1993.0,,0.0,UNKNOWN,,,
230,5627,4082,169,40,5708,4101,885.5,,0.0,UNKNOWN,,,
231,5799,4078,164,27,5890,4086,876.0,,0.0,UNKNOWN,,,
232,4122,4078,120,61,4186,4106,842.5,,0.0,UNKNOWN,,,
233,6342,4074,73,43,6368,4094,614.0,,0.0,UNKNOWN,,,
234,5647,4065,314,39,5814,4075,1238.5,,0.0,UNKNOWN,,,
235,7856,4063,126,92,7930,4103,1201.5,,0.0,UNKNOWN,,,
236,5364,4060,242,48,5489,4082,911.5,,0.0,UNKNOWN,,,
237,6977,4052,125,68,7033,4096,926.0,,0.0,UNKNOWN,,,
238,2744,4049,334,103,2913,4102,2381.0,,0.0,UNKNOWN,,,
239,5676,4038,144,36,5749,4056,694.0,,0.0,UNKNOWN,,,
240,4738,4024,157,86,4816,4061,1112.5,,0.0,UNKNOWN,,,
241,6607,4020,47,135,6623,4085,916.5,,0.0,UNKNOWN,,,
242,7130,4018,44,40,7151,4036,525.5,,0.0,UNKNOWN,,,
243,7059,4005,48,51,7083,4033,641.5,,0.0,UNKNOWN,,,
244,3945,4002,98,97,3995,4046,995.0,,0.0,UNKNOWN,,,
245,2606,4001,119,45,2660,4023,588.0,,0.0,UNKNOWN,,,
246,6538,4000,123,69,6589,4023,975.0,1,0.426,INVALID,,1,
247,7313,3999,110,155,7379,4078,952.5,,0.0,UNKNOWN,,,
248,7178,3993,40,60,7198,4021,533.0,,0.0,UNKNOWN,,,
249,3382,3991,214,158,3497,4074,1419.5,,0.0,UNKNOWN,,,
250,6316,3987,138,49,6391,4013,820.5,,0.0,UNKNOWN,,,
251,6883,3984,42,51,6901,4012,644.0,,0.0,UNKNOWN,,,
252,6750,3983,76,38,6784,3998,731.5,,0.0,UNKNOWN,,,
253,2677,3983,451,185,2903,4064,3605.5,,0.0,UNKNOWN,,,
254,6829,3978,34,55,6846,4004,573.0,,0.0,UNKNOWN,,,
255,5237,3972,220,94,5337,4028,1073.0,,0.0,UNKNOWN,,,
256,6414,3968,127,35,6475,3981,722.5,,0.0,UNKNOWN,,,
257,5117,3955,85,71,5158,3986,535.5,,0.0,UNKNOWN,,,
258,6641,3950,329,193,6758,4069,3200.0,,0.0,UNKNOWN,,,
259,6665,3925,102,76,6713,3961,548.0,,0.0,UNKNOWN,,,
260,6373,3903,67,71,6400,3936,598.5,,0.0,UNKNOWN,,,
261,6250,3899,35,83,6263,3936,538.5,,0.0,UNKNOWN,,,
