parcel_id,detected_number,cx,cy,confidence,validation,area_px,tess_number,tess_conf,easy_number,easy_conf
,,7177.349525678769,5986.887962054301,0.0,NO_NUMBER,1019.0,,0.0,,0.0
,,7302.624700239809,5863.947442046362,0.0,NO_NUMBER,834.0,,0.0,,0.0
,,7097.049131723846,5837.474092898488,0.0,NO_NUMBER,1180.5,,0.0,,0.0
,,4392.15234138319,5717.617155717129,0.0,NO_NUMBER,1925.5,,0.0,,0.0
,,7529.369860920067,5618.27418615314,0.0,NO_NUMBER,1090.5,,0.0,,0.0
,,7138.716033390903,5602.5647668393785,0.0,NO_NUMBER,1158.0,,0.0,,0.0
,,3533.268624014023,5631.804995617879,0.0,NO_NUMBER,1141.0,,0.0,,0.0
,,7586.227628445049,5633.353861857775,0.0,NO_NUMBER,1469.5,,0.0,,0.0
,,7466.2301784973015,5450.249688667497,0.0,NO_NUMBER,803.0,,0.0,,0.0
,,2373.88389261745,5510.035906040269,0.0,NO_NUMBER,1490.0,,0.0,,0.0
,,4232.430255402751,5472.854453176162,0.0,NO_NUMBER,1018.0,,0.0,,0.0
,,4114.761523046092,5560.793141839234,0.0,NO_NUMBER,1497.0,,0.64,,0.0
,,4122.914067098293,5403.767902687855,0.0,NO_NUMBER,849.5,,0.6,,0.0
,,5990.163620857699,5461.241349902533,0.0,NO_NUMBER,1368.0,,0.0,,0.0
,,6433.831107513827,5297.455146364495,0.0,NO_NUMBER,1235.5,,0.79,,0.0
,,4439.817403968687,5430.028672856362,0.0,NO_NUMBER,1831.0,,0.29,,0.0
,,4102.275115919629,5268.464537180147,0.0,NO_NUMBER,970.5,,0.55,,0.0
,,7169.960235341854,5216.444512071414,0.0,NO_NUMBER,821.5,,0.0,,0.0
,,4023.950166268559,5481.618519038921,0.0,NO_NUMBER,3558.5,,0.88,,0.0
,,6780.967145259345,5321.088345621523,0.0,NO_NUMBER,1288.5,,0.9,,0.0
,,3859.757575757576,5354.2643097643095,0.0,NO_NUMBER,2079.0,,0.46,,0.0
,,4246.276833696441,5125.506608569353,0.0,NO_NUMBER,1147.5,,0.0,,0.0
,,6663.82358276644,5119.062887377173,0.0,NO_NUMBER,1102.5,,0.0,,0.0
,,4114.992626110273,5104.702362996481,0.0,NO_NUMBER,994.5,,0.0,,0.0
,,4433.421636085627,5121.093463302752,0.0,NO_NUMBER,872.0,,0.0,,0.0
,,2689.3083875632683,5033.255121716076,0.0,NO_NUMBER,1383.0,,0.0,,0.0
,,3617.749349684132,5072.6872909699,0.0,NO_NUMBER,897.0,,0.0,,0.0
,,6686.637240942889,5052.68992248062,0.0,NO_NUMBER,1053.5,,0.0,,0.0
,,3993.86908462867,5064.454749568221,0.0,NO_NUMBER,965.0,,0.76,,0.0
,,7199.616941312518,4994.022405319456,0.0,NO_NUMBER,1153.0,,0.43,,0.0
,,3349.2406951959338,4945.375143466142,0.0,NO_NUMBER,1016.5,,0.0,,0.0
,,2902.9103184199917,4926.193067311568,0.0,NO_NUMBER,827.0,,0.0,,0.0
,,2509.7233853006683,4956.387082405346,0.0,NO_NUMBER,1122.5,,0.45,,0.0
,,4345.855555555556,4994.520282186948,0.0,NO_NUMBER,945.0,,0.0,,0.0
,,6738.351203240409,4993.305932809149,0.0,NO_NUMBER,1399.0,,0.0,,0.0
,,2634.410001655903,4923.524258983275,0.0,NO_NUMBER,1006.5,,0.11,,0.0
,,3166.201502077341,4901.084052412911,0.0,NO_NUMBER,1043.0,,0.28,,0.0
,,2979.337095088819,4884.2993730407525,0.0,NO_NUMBER,1595.0,,0.0,,0.0
,,2015.0112060778727,4901.248053181386,0.0,NO_NUMBER,877.5,,0.0,,0.0
,,2570.109788359788,4822.308682058682,0.0,NO_NUMBER,1386.0,,0.0,,0.0
,,3747.7005491948244,5162.571534952992,0.0,NO_NUMBER,3581.0,,0.71,,0.0
,,3894.885239713099,5017.349414873536,0.0,NO_NUMBER,2207.5,,0.54,,0.0
,,4764.712331942513,4850.146267964766,0.0,NO_NUMBER,1438.0,,0.0,,0.0
,,3818.76259196378,4888.572891907187,0.0,NO_NUMBER,2945.0,,0.75,,0.0
,,6792.755952380951,4805.831057422968,0.0,NO_NUMBER,952.0,,0.0,,0.0
,,3508.0949552341594,4836.690685261708,0.0,NO_NUMBER,1936.0,,0.2,,0.0
,,3974.6589621572625,4836.240539315658,0.0,NO_NUMBER,1471.0,,0.53,,0.0
,,4225.675373573361,4787.3305094717025,0.0,NO_NUMBER,1416.5,,0.0,,0.0
,,3374.358516020236,4774.310623946037,0.0,NO_NUMBER,1482.5,,0.0,,0.0
,,6810.643308080807,4837.852351641413,0.0,NO_NUMBER,2112.0,,0.0,,0.0
,,4045.159159159159,4699.5451451451445,0.0,NO_NUMBER,832.5,,0.0,,0.0
,,2649.724855729596,4732.451291563616,0.0,NO_NUMBER,2426.0,,0.12,,0.0
,,3515.39740781307,4668.357977364001,0.0,NO_NUMBER,913.0,,0.46,,0.0
,,3638.650159568614,4687.432045779685,0.0,NO_NUMBER,1514.5,,0.0,,0.0
,,6784.032950574138,4668.808620402729,0.0,NO_NUMBER,1001.5,,0.0,,0.0
,,6611.164003314393,4825.734907670455,0.0,NO_NUMBER,2816.0,,0.32,,0.0
,,3623.697175141243,4601.764406779661,0.0,NO_NUMBER,885.0,,0.0,,0.0
,,3279.506193381401,4596.12257348863,0.0,NO_NUMBER,901.5,,0.0,,0.0
,,6145.378557768027,4621.716616042299,0.0,NO_NUMBER,1481.5,,0.0,,0.0
,,3783.5051581106313,4647.615697799001,0.0,NO_NUMBER,5444.5,,0.7,,0.0
,,4021.4079373190257,4570.82234712996,0.0,NO_NUMBER,978.5,,0.0,,0.0
,,6814.451188182402,4612.768304431599,0.0,NO_NUMBER,1038.0,,0.0,,0.0
,,2475.0556641898056,4617.307782557685,0.0,NO_NUMBER,1278.5,,0.89,,0.0
,,7751.362390014323,4584.918968692449,0.0,NO_NUMBER,814.5,,0.0,,0.0
,,3930.435981138919,4564.908233587232,0.0,NO_NUMBER,919.0,,0.0,,0.0
,,3642.5376513954707,4546.3451816745655,0.0,NO_NUMBER,1266.0,,0.0,,0.0
,,2340.7146857062858,4564.713145737085,0.0,NO_NUMBER,1190.5,,0.41,,0.0
,,4941.778821687218,4527.618712076727,0.0,NO_NUMBER,851.5,,0.43,,0.0
,,2406.0873340776575,4575.352437662821,0.0,NO_NUMBER,1343.5,,0.59,,0.0
,,6462.860256863437,4494.764227642277,0.0,NO_NUMBER,1414.5,,0.11,,0.0
,,6766.995512035904,4456.385250917992,0.0,NO_NUMBER,1634.0,,0.22,,0.0
,,4074.1305186042023,4380.54019664546,0.0,NO_NUMBER,1729.0,,0.0,,0.0
,,6559.722669735328,4332.323743766781,0.0,NO_NUMBER,869.0,,0.0,,0.0
,,6297.17302955665,4293.477216748768,0.0,NO_NUMBER,812.0,,0.0,,0.0
,,6258.765763021626,4321.386536704234,0.0,NO_NUMBER,1641.5,,0.58,,0.0
,,7425.056285482563,4279.645417680454,0.0,NO_NUMBER,1027.5,,0.0,,0.0
,,5184.335600907029,4215.12993197279,0.0,NO_NUMBER,1470.0,,0.0,,0.0
,,6690.19135160134,4276.002081165453,0.0,NO_NUMBER,1441.5,,0.0,,0.0
,,2610.0937875893296,4243.823338993844,0.0,NO_NUMBER,9422.0,,0.0,,0.0
,,4108.122817229337,4223.456732634846,0.0,NO_NUMBER,859.0,,0.0,,0.0
,,6548.781166399143,4169.914258962011,0.0,NO_NUMBER,1246.0,,0.63,,0.0
,,6727.817393736018,4174.144295302013,0.0,NO_NUMBER,1192.0,,0.0,,0.0
,,2357.031959240389,4210.797282692604,0.0,NO_NUMBER,1079.5,,0.08,,0.0
,,6014.7413342830005,4168.879867046534,0.0,NO_NUMBER,1404.0,,0.0,,0.0
,,3279.6525265127884,4211.237887294656,0.0,NO_NUMBER,801.5,,0.0,,0.0
,,4379.655380424207,4061.492119089317,0.0,NO_NUMBER,856.5,,0.4,,0.0
,,6281.302216880342,4040.91546474359,0.0,NO_NUMBER,1248.0,,0.0,,0.0
,,2381.099109131403,4074.7674461766887,0.0,NO_NUMBER,898.0,,0.0,,0.0
,,5634.858823529412,4021.439427662957,0.0,NO_NUMBER,1572.5,,0.47,,0.0
,,5874.765655013446,4037.1010372646947,0.0,NO_NUMBER,1301.5,,0.0,,0.0
,,7104.58327997154,4009.9543223052297,0.0,NO_NUMBER,2342.5,,0.0,,0.0
,,2272.3689251865294,4051.646702964307,0.0,NO_NUMBER,1653.0,,0.46,,0.0
,,6895.124451198919,3982.097771023303,0.0,NO_NUMBER,987.0,,0.0,,0.0
,,6503.774716098864,4026.6509686038744,0.0,NO_NUMBER,998.0,,0.0,,0.0
,,5627.534691174034,3961.2191588011256,0.0,NO_NUMBER,2013.0,,0.96,,0.0
,,7201.592792792792,3930.581756756757,0.0,NO_NUMBER,1480.0,,0.0,,0.0
,,6557.09735744089,3986.250347705146,0.0,NO_NUMBER,1438.0,,0.0,,0.0
,,2317.4137677158105,3933.0791459598745,0.0,NO_NUMBER,905.5,,0.0,,0.0
,,6980.340384845224,3881.148440301183,0.0,NO_NUMBER,1394.5,,0.0,,0.0
,,2231.0947368421052,3896.4195488721803,0.0,NO_NUMBER,997.5,,0.0,,0.0
,,3423.7121582315294,3911.9284467713787,0.0,NO_NUMBER,1432.5,,0.0,,0.0
,,6444.740757999379,3780.7747747747744,0.0,NO_NUMBER,1073.0,,0.0,,0.0
,,5885.159026297085,3774.597725657427,0.0,NO_NUMBER,938.0,,0.32,,0.0
,,7534.104734576757,3730.03427387215,0.0,NO_NUMBER,1045.5,,0.0,,0.0
,,2296.343458206772,3728.9428507143657,0.0,NO_NUMBER,1481.5,,0.0,,0.0
,,6726.227130498803,3680.3745628566166,0.0,NO_NUMBER,905.5,,0.0,,0.0
,,6760.78907630522,3679.292530120482,0.0,NO_NUMBER,1037.5,,0.31,,0.0
,,2331.477247502775,3659.8464668886418,0.0,NO_NUMBER,2252.5,,0.0,,0.0
,,6099.134615384615,3548.2427884615386,0.0,NO_NUMBER,1040.0,,0.0,,0.0
,,6436.52413381123,3607.4923536439665,0.0,NO_NUMBER,1395.0,,0.3,,0.0
,,6203.777143943715,3491.322114470431,0.0,NO_NUMBER,876.5,,0.72,,0.0
,,3641.060189249829,3584.2492439761972,0.0,NO_NUMBER,1708.5,,0.54,,0.0
