id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,711.0,1.6e-05,1790,5950,1758,5891,68,130,0.523,322.2,0.579,0.086
1,504.5,1.1e-05,1496,5866,1475,5834,40,60,0.667,185.2,0.521,0.185
2,872.5,2e-05,755,5899,737,5826,40,163,0.245,370.8,0.56,0.08
3,514.5,1.2e-05,957,5859,941,5815,32,98,0.327,251.7,0.494,0.102
4,549.5,1.2e-05,807,5831,756,5814,100,28,3.571,242.9,0.349,0.117
5,1749.5,4e-05,7156,5950,7149,5804,19,290,0.066,658.2,0.464,0.051
6,1244.0,2.8e-05,3561,5853,3482,5796,164,115,1.426,431.0,0.678,0.084
7,583.5,1.3e-05,1484,5820,1469,5796,36,52,0.692,169.8,0.584,0.254
8,923.5,2.1e-05,932,5876,904,5795,57,167,0.341,395.6,0.48,0.074
9,521.5,1.2e-05,2603,5776,2581,5762,49,27,1.815,150.1,0.566,0.291
10,615.5,1.4e-05,790,5774,766,5751,56,53,1.057,218.1,0.466,0.163
11,638.5,1.5e-05,505,5763,474,5749,55,33,1.667,187.1,0.515,0.229
12,684.0,1.6e-05,3438,5767,3410,5747,60,36,1.667,162.0,0.669,0.327
13,4216.0,9.6e-05,1510,5760,1193,5734,571,152,3.757,1434.7,0.11,0.026
14,599.0,1.4e-05,1159,5747,1145,5728,46,55,0.836,197.5,0.434,0.193
15,624.5,1.4e-05,3421,5714,3388,5692,66,38,1.737,255.7,0.406,0.12
16,620.0,1.4e-05,2124,5699,2105,5678,42,48,0.875,235.4,0.471,0.141
17,938.5,2.1e-05,3556,5692,3475,5670,148,42,3.524,377.1,0.222,0.083
18,2399.5,5.5e-05,868,5716,791,5641,146,155,0.942,908.1,0.289,0.037
19,2181.0,5e-05,539,5782,486,5641,82,315,0.26,748.3,0.229,0.049
20,565.0,1.3e-05,3545,5655,3511,5635,72,46,1.565,220.1,0.358,0.147
21,689.5,1.6e-05,2088,5661,2063,5633,57,58,0.983,214.0,0.643,0.189
22,1067.0,2.4e-05,710,5702,664,5630,88,164,0.537,446.4,0.338,0.067
23,562.0,1.3e-05,730,5647,716,5625,34,58,0.586,193.7,0.485,0.188
24,1015.0,2.3e-05,3672,5620,3592,5597,147,37,3.973,355.7,0.273,0.101
25,2460.0,5.6e-05,3797,5692,3648,5588,296,214,1.383,795.1,0.624,0.049
26,909.0,2.1e-05,3984,5610,3933,5574,118,70,1.686,342.5,0.394,0.097
27,716.5,1.6e-05,747,5614,700,5574,93,87,1.069,287.3,0.521,0.109
28,643.0,1.5e-05,951,5592,930,5561,42,57,0.737,177.3,0.55,0.257
29,844.0,1.9e-05,2068,5601,2032,5554,68,85,0.8,348.7,0.344,0.087
30,1134.5,2.6e-05,7162,5669,7153,5552,18,236,0.076,538.7,0.426,0.049
31,1819.5,4.1e-05,1004,5675,981,5552,38,267,0.142,627.7,0.307,0.058
32,816.5,1.9e-05,3779,5566,3721,5540,119,47,2.532,311.1,0.275,0.106
33,737.5,1.7e-05,3480,5567,3449,5535,78,64,1.219,292.6,0.335,0.108
34,595.0,1.4e-05,939,5540,917,5520,46,42,1.095,174.7,0.548,0.245
35,1409.0,3.2e-05,3605,5548,3511,5505,187,77,2.429,582.5,0.212,0.052
36,521.5,1.2e-05,3435,5506,3395,5493,73,21,3.476,170.8,0.599,0.225
37,2340.0,5.3e-05,565,5666,507,5492,106,347,0.305,845.0,0.273,0.041
38,1322.0,3e-05,1119,5589,1093,5484,55,229,0.24,513.4,0.621,0.063
39,1257.5,2.9e-05,4029,5534,3949,5473,166,115,1.443,445.2,0.603,0.08
40,668.5,1.5e-05,967,5510,938,5460,47,94,0.5,258.7,0.499,0.126
41,543.0,1.2e-05,3546,5476,3508,5454,79,37,2.135,214.1,0.335,0.149
42,627.0,1.4e-05,3865,5474,3828,5442,78,54,1.444,230.4,0.398,0.148
43,629.5,1.4e-05,3295,5440,3272,5420,41,44,0.932,232.9,0.482,0.146
44,574.0,1.3e-05,787,5455,754,5420,61,58,1.052,262.9,0.257,0.104
45,1466.0,3.3e-05,709,5469,672,5414,114,143,0.797,525.7,0.195,0.067
46,554.5,1.3e-05,621,5447,590,5408,53,65,0.815,255.9,0.374,0.106
47,707.5,1.6e-05,3370,5420,3326,5397,89,43,2.07,229.4,0.481,0.169
48,806.5,1.8e-05,4139,5423,4071,5393,143,59,2.424,345.6,0.587,0.085
49,827.5,1.9e-05,3503,5405,3483,5368,43,80,0.537,349.1,0.363,0.085
50,634.0,1.4e-05,3957,5389,3935,5361,48,55,0.873,233.3,0.376,0.146
51,638.0,1.5e-05,1372,5405,1346,5361,47,82,0.573,223.6,0.392,0.16
52,837.5,1.9e-05,3127,5397,3106,5347,35,115,0.304,397.9,0.243,0.066
53,700.0,1.6e-05,3204,5366,3174,5334,71,54,1.315,229.3,0.378,0.167
54,633.0,1.4e-05,915,5386,896,5333,35,100,0.35,269.3,0.29,0.11
55,797.0,1.8e-05,490,5376,474,5314,40,135,0.296,312.5,0.45,0.103
56,594.0,1.4e-05,627,5345,596,5313,55,58,0.948,207.7,0.409,0.173
57,775.0,1.8e-05,1358,5339,1328,5312,67,58,1.155,241.4,0.405,0.167
58,547.5,1.2e-05,2957,5335,2926,5303,67,69,0.971,212.0,0.66,0.153
59,741.0,1.7e-05,4104,5316,4053,5292,100,43,2.326,301.7,0.297,0.102
60,722.0,1.6e-05,3346,5338,3309,5288,85,77,1.104,293.2,0.286,0.106
61,1310.5,3e-05,1049,5375,997,5280,101,202,0.5,503.3,0.418,0.065
62,634.0,1.4e-05,637,5279,607,5256,56,45,1.244,217.1,0.43,0.169
63,1902.5,4.3e-05,467,5422,421,5249,83,362,0.229,826.5,0.26,0.035
64,755.5,1.7e-05,3382,5264,3329,5248,105,28,3.75,261.7,0.525,0.139
65,530.5,1.2e-05,3623,5240,3606,5213,40,73,0.548,227.7,0.292,0.129
66,623.5,1.4e-05,3750,5250,3720,5203,63,88,0.716,240.1,0.621,0.136
67,772.0,1.8e-05,783,5235,764,5195,42,78,0.538,218.9,0.465,0.202
68,3699.5,8.4e-05,1680,5461,1643,5180,74,568,0.13,1315.1,0.256,0.027
69,531.5,1.2e-05,471,5236,454,5180,31,111,0.279,255.6,0.532,0.102
70,549.5,1.2e-05,3889,5192,3849,5170,75,40,1.875,209.9,0.43,0.157
71,529.0,1.2e-05,3412,5206,3394,5168,39,72,0.542,183.8,0.626,0.197
72,1929.0,4.4e-05,1215,5187,1086,5146,264,86,3.07,678.7,0.276,0.053
73,1960.5,4.5e-05,1489,5161,1350,5145,304,39,7.795,730.5,0.246,0.046
74,632.0,1.4e-05,752,5167,733,5145,45,50,0.9,198.7,0.502,0.201
75,668.0,1.5e-05,3587,5148,3572,5127,36,48,0.75,160.0,0.695,0.328
76,563.5,1.3e-05,3267,5104,3245,5076,46,60,0.767,164.1,0.729,0.263
77,1226.5,2.8e-05,3222,5127,3165,5073,128,114,1.123,395.3,0.511,0.099
78,532.0,1.2e-05,3799,5085,3775,5065,54,40,1.35,245.6,0.375,0.111
79,698.0,1.6e-05,3560,5034,3529,5022,58,27,2.148,147.5,0.823,0.403
80,707.0,1.6e-05,2145,5023,2120,5009,70,49,1.429,237.7,0.37,0.157
81,2491.0,5.7e-05,721,5206,654,5009,173,377,0.459,928.8,0.222,0.036
82,2316.5,5.3e-05,790,5156,679,5001,214,297,0.721,806.8,0.303,0.045
83,1083.0,2.5e-05,1144,4993,1110,4969,67,50,1.34,234.6,0.594,0.247
84,638.0,1.5e-05,3608,4970,3573,4929,74,92,0.804,274.4,0.396,0.106
85,680.5,1.5e-05,3746,4970,3712,4922,72,86,0.837,250.1,0.545,0.137
86,926.5,2.1e-05,1137,4931,1110,4895,54,66,0.818,245.5,0.583,0.193
87,511.0,1.2e-05,930,4881,918,4851,24,73,0.329,192.9,0.468,0.173
88,1039.5,2.4e-05,1134,4854,1098,4826,71,58,1.224,285.0,0.407,0.161
89,697.0,1.6e-05,3672,4842,3648,4813,59,54,1.093,232.2,0.438,0.162
90,610.5,1.4e-05,1955,4799,1901,4781,111,40,2.775,269.4,0.51,0.106
91,756.5,1.7e-05,1407,4647,1364,4639,98,19,5.158,273.7,0.59,0.127
92,575.0,1.3e-05,1655,4646,1620,4627,77,33,2.333,214.7,0.42,0.157
93,660.5,1.5e-05,1321,4650,1304,4621,57,58,0.983,235.9,0.361,0.149
94,540.5,1.2e-05,1441,4496,1423,4445,32,113,0.283,263.1,0.448,0.098
95,655.5,1.5e-05,1630,4231,1617,4179,28,99,0.283,242.1,0.424,0.141
96,1741.5,4e-05,1079,3903,1017,3838,134,99,1.354,434.4,0.327,0.116
97,1687.0,3.8e-05,1256,3857,1221,3793,87,128,0.68,356.3,0.655,0.167
98,1260.0,2.9e-05,1024,3807,985,3765,77,93,0.828,432.2,0.333,0.085
99,1307.5,3e-05,1177,3776,1125,3764,109,24,4.542,258.5,0.755,0.246
100,955.0,2.2e-05,7198,3532,7189,3430,19,198,0.096,466.5,0.372,0.055
101,785.5,1.8e-05,7204,3338,7196,3258,18,168,0.107,401.9,0.372,0.061
102,554.0,1.3e-05,6834,3228,6802,3186,65,84,0.774,229.2,0.646,0.132
103,612.0,1.4e-05,1267,1135,1257,1090,19,83,0.229,204.4,0.535,0.184
104,584.0,1.3e-05,1261,1037,1247,991,24,96,0.25,244.3,0.499,0.123
105,70184.0,0.001596,1780,4765,168,490,6198,5569,1.113,24550.0,0.004,0.001
106,625.5,1.4e-05,6578,387,6519,357,109,68,1.603,279.9,0.623,0.1
107,566.5,1.3e-05,894,181,876,143,39,65,0.6,213.7,0.457,0.156
108,775.0,1.8e-05,5204,107,5168,82,74,45,1.644,361.9,0.394,0.074
109,1275.5,2.9e-05,7098,70,7043,52,173,75,2.307,519.5,0.202,0.059
110,1628.5,3.7e-05,6959,68,6837,52,203,77,2.636,599.9,0.176,0.057
111,6143.5,0.00014,6318,55,5809,50,1026,18,57.0,2246.5,0.47,0.015
112,30739.0,0.000699,3274,48,759,0,5051,63,80.175,11202.6,0.179,0.003
113,3154.5,7.2e-05,185,241,181,0,17,488,0.035,1087.6,0.514,0.034
