id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,26810.0,0.000503,4285,6171,2265,6147,4098,49,83.633,9430.4,0.371,0.004
1,665.5,1.2e-05,6420,6153,6366,6144,106,15,7.067,249.8,0.633,0.134
2,1318.0,2.5e-05,6574,6151,6473,6143,202,14,14.429,454.2,0.583,0.08
3,1524.5,2.9e-05,6794,6150,6676,6142,235,14,16.786,525.5,0.597,0.069
4,531.5,1e-05,6955,6147,6915,6137,82,17,4.824,207.0,0.465,0.156
5,4681.0,8.8e-05,7307,6127,7001,5996,539,158,3.411,1714.7,0.102,0.02
6,1011.5,1.9e-05,5355,5999,5253,5984,191,24,7.958,440.5,0.394,0.066
7,755.5,1.4e-05,3321,5987,3285,5962,62,62,1.0,253.0,0.361,0.148
8,1574.0,3e-05,3002,5997,2885,5948,219,99,2.212,524.7,0.599,0.072
9,614.5,1.2e-05,3388,5967,3354,5940,62,60,1.033,258.1,0.335,0.116
10,733.5,1.4e-05,3442,5986,3426,5939,45,101,0.446,267.4,0.382,0.129
11,661.0,1.2e-05,3247,5965,3199,5933,93,65,1.431,255.9,0.613,0.127
12,730.0,1.4e-05,2782,5941,2722,5919,124,45,2.756,294.1,0.472,0.106
13,590.5,1.1e-05,3743,5948,3712,5918,61,58,1.052,187.9,0.641,0.21
14,570.5,1.1e-05,4387,5924,4361,5902,49,49,1.0,214.6,0.422,0.156
15,554.0,1e-05,3959,5913,3929,5892,65,43,1.512,169.8,0.726,0.241
16,884.0,1.7e-05,2757,5917,2682,5890,150,44,3.409,345.3,0.415,0.093
17,567.5,1.1e-05,4879,5854,4852,5832,47,58,0.81,206.8,0.395,0.167
18,3496.0,6.6e-05,3744,5856,3445,5830,581,61,9.525,1272.9,0.475,0.027
19,549.0,1e-05,4814,5852,4794,5827,39,59,0.661,217.1,0.378,0.146
20,699.0,1.3e-05,4752,5855,4734,5827,45,65,0.692,248.8,0.398,0.142
21,1771.5,3.3e-05,7406,5931,7349,5820,109,223,0.489,675.9,0.183,0.049
22,688.0,1.3e-05,4072,5829,4032,5804,79,59,1.339,229.2,0.491,0.165
23,1051.5,2e-05,6411,5791,6306,5760,212,67,3.164,482.1,0.566,0.057
24,640.0,1.2e-05,2655,5788,2606,5754,106,86,1.233,301.5,0.347,0.088
25,1873.0,3.5e-05,4272,5777,4129,5753,305,48,6.354,672.5,0.675,0.052
26,776.0,1.5e-05,7337,5773,7257,5740,163,73,2.233,388.0,0.584,0.065
27,1940.5,3.6e-05,7518,5839,7464,5737,73,256,0.285,673.0,0.221,0.054
28,678.0,1.3e-05,5914,5747,5895,5732,53,31,1.71,176.4,0.643,0.274
29,1039.5,2e-05,2964,5796,2878,5728,184,143,1.287,499.5,0.411,0.052
30,586.5,1.1e-05,6008,5759,5965,5726,80,62,1.29,247.2,0.395,0.121
31,762.5,1.4e-05,6425,5747,6351,5725,152,34,4.471,337.2,0.377,0.084
32,1037.5,1.9e-05,5158,5792,5090,5720,128,157,0.815,449.9,0.54,0.064
33,700.0,1.3e-05,7221,5732,7179,5703,75,82,0.915,277.6,0.291,0.114
34,1132.5,2.1e-05,2959,5766,2877,5700,174,145,1.2,488.1,0.387,0.06
35,730.5,1.4e-05,5537,5732,5513,5697,52,64,0.812,238.9,0.404,0.161
36,737.0,1.4e-05,5478,5719,5454,5693,48,65,0.738,247.3,0.373,0.151
37,714.5,1.3e-05,2831,5771,2814,5689,33,154,0.214,346.2,0.658,0.075
38,1282.0,2.4e-05,1475,5713,1347,5686,233,60,3.883,623.8,0.336,0.041
39,1031.5,1.9e-05,4159,5735,4109,5675,101,123,0.821,340.3,0.748,0.112
40,590.0,1.1e-05,6627,5689,6575,5674,106,29,3.655,259.7,0.483,0.11
41,1008.5,1.9e-05,6102,5729,6070,5670,48,125,0.384,302.1,0.355,0.139
42,765.0,1.4e-05,5421,5705,5392,5663,50,83,0.602,284.1,0.38,0.119
43,605.0,1.1e-05,5338,5701,5325,5659,30,78,0.385,193.7,0.66,0.203
44,648.5,1.2e-05,6903,5705,6871,5653,46,101,0.455,254.2,0.315,0.126
45,513.5,1e-05,3095,5674,3053,5652,90,49,1.837,222.7,0.612,0.13
46,1223.0,2.3e-05,6832,5711,6767,5650,118,102,1.157,485.7,0.22,0.065
47,1206.5,2.3e-05,7091,5672,7004,5645,171,64,2.672,401.9,0.521,0.094
48,1584.5,3e-05,5659,5741,5575,5636,172,215,0.8,622.7,0.535,0.051
49,2222.0,4.2e-05,1391,5666,1216,5636,320,61,5.246,907.5,0.258,0.034
50,942.5,1.8e-05,3598,5683,3528,5620,131,119,1.101,398.5,0.394,0.075
51,683.0,1.3e-05,6810,5658,6790,5613,52,89,0.584,271.6,0.351,0.116
52,3786.5,7.1e-05,3337,5774,3105,5608,428,342,1.251,1191.5,0.402,0.034
53,1163.0,2.2e-05,7068,5602,7001,5579,146,61,2.393,352.4,0.436,0.118
54,657.5,1.2e-05,2806,5633,2795,5579,24,105,0.229,241.4,0.664,0.142
55,3862.5,7.3e-05,4805,5655,4511,5576,595,159,3.742,1348.2,0.507,0.027
56,765.0,1.4e-05,3598,5605,3553,5567,97,77,1.26,265.5,0.697,0.136
57,944.0,1.8e-05,5202,5546,5126,5523,150,49,3.061,345.9,0.605,0.099
58,7381.5,0.000139,1329,5563,1274,5518,111,89,1.247,331.8,0.977,0.843
59,522.0,1e-05,3721,5548,3682,5508,85,82,1.037,256.2,0.53,0.1
60,858.0,1.6e-05,5793,5565,5746,5502,85,132,0.644,348.5,0.524,0.089
61,1123.5,2.1e-05,2925,5513,2847,5481,161,65,2.477,392.1,0.644,0.092
62,789.5,1.5e-05,2714,5496,2658,5473,118,40,2.95,377.5,0.329,0.07
63,1144.5,2.1e-05,6128,5490,6099,5463,75,65,1.154,312.0,0.395,0.148
64,1830.5,3.4e-05,6028,5508,5978,5443,83,125,0.664,470.2,0.314,0.104
65,1177.5,2.2e-05,3647,5497,3580,5442,124,123,1.008,381.8,0.701,0.102
66,840.5,1.6e-05,2963,5463,2924,5434,100,50,2.0,331.0,0.281,0.096
67,2058.0,3.9e-05,4307,5546,4208,5423,193,248,0.778,683.7,0.534,0.055
68,801.0,1.5e-05,6176,5447,6152,5409,67,66,1.015,264.0,0.418,0.144
69,5897.5,0.000111,6513,5647,6388,5407,232,669,0.347,2044.5,0.074,0.018
70,691.5,1.3e-05,4218,5421,4186,5391,61,56,1.089,192.6,0.67,0.234
71,1001.0,1.9e-05,6242,5408,6215,5384,72,45,1.6,339.5,0.484,0.109
72,1525.5,2.9e-05,3101,5429,3014,5365,184,119,1.546,479.2,0.608,0.083
73,841.5,1.6e-05,3942,5394,3881,5358,121,78,1.551,323.1,0.56,0.101
74,808.5,1.5e-05,3751,5402,3705,5358,109,86,1.267,305.7,0.537,0.109
75,2107.0,4e-05,5513,5416,5379,5352,280,127,2.205,678.6,0.642,0.058
76,924.0,1.7e-05,6678,5353,6631,5324,96,56,1.714,305.7,0.621,0.124
77,6968.0,0.000131,5790,5631,5517,5317,606,815,0.744,2443.5,0.071,0.015
78,509.5,1e-05,5771,5326,5731,5315,80,23,3.478,199.1,0.634,0.162
79,551.5,1e-05,4038,5336,4002,5310,74,52,1.423,205.0,0.699,0.165
80,2019.0,3.8e-05,5911,5381,5843,5309,168,161,1.043,535.4,0.353,0.089
81,961.5,1.8e-05,5880,5310,5816,5297,134,27,4.963,306.4,0.659,0.129
82,1038.0,1.9e-05,6756,5315,6727,5289,73,69,1.058,307.1,0.388,0.138
83,784.5,1.5e-05,6414,5311,6350,5277,125,59,2.119,301.0,0.469,0.109
84,553.0,1e-05,3225,5316,3192,5269,59,87,0.678,263.8,0.286,0.1
85,672.0,1.3e-05,6803,5278,6771,5262,59,39,1.513,174.7,0.538,0.277
86,1197.0,2.2e-05,3991,5264,3929,5235,119,62,1.919,311.7,0.76,0.155
87,694.5,1.3e-05,6121,5226,6097,5183,44,96,0.458,243.9,0.583,0.147
88,869.5,1.6e-05,4549,5236,4499,5168,110,134,0.821,373.3,0.65,0.078
