id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,1334.0,3.1e-05,6999,6062,6858,6054,275,13,21.154,620.8,0.483,0.043
1,816.0,1.9e-05,6521,6061,6447,6054,149,13,11.462,345.6,0.539,0.086
2,676.0,1.6e-05,6743,6060,6693,6040,117,27,4.333,310.7,0.378,0.088
3,542.0,1.2e-05,3125,6020,3107,6000,37,39,0.949,177.3,0.617,0.217
4,1885.5,4.3e-05,3174,5995,3092,5947,124,78,1.59,487.2,0.377,0.1
5,665.5,1.5e-05,6195,5922,6165,5895,61,58,1.052,242.0,0.379,0.143
6,516.0,1.2e-05,6775,5899,6747,5857,55,82,0.671,224.1,0.612,0.129
7,584.5,1.3e-05,7109,5860,7073,5825,82,55,1.491,272.5,0.305,0.099
8,782.0,1.8e-05,5633,5867,5622,5823,27,96,0.281,250.2,0.456,0.157
9,734.0,1.7e-05,6839,5838,6783,5819,107,46,2.326,290.2,0.443,0.109
10,556.5,1.3e-05,5683,5843,5651,5811,64,58,1.103,200.6,0.521,0.174
11,513.5,1.2e-05,6447,5814,6440,5782,21,66,0.318,162.8,0.678,0.243
12,813.0,1.9e-05,5897,5803,5874,5756,40,97,0.412,267.1,0.432,0.143
13,718.5,1.7e-05,6895,5806,6861,5746,76,118,0.644,310.8,0.563,0.093
14,3663.0,8.4e-05,6188,5752,5921,5745,511,22,23.227,1125.4,0.509,0.036
15,1191.5,2.7e-05,6589,5834,6583,5741,18,188,0.096,410.1,0.52,0.089
16,567.0,1.3e-05,6667,5745,6632,5713,64,73,0.877,225.8,0.45,0.14
17,509.5,1.2e-05,6530,5707,6507,5687,43,46,0.935,209.2,0.47,0.146
18,642.5,1.5e-05,7053,5750,7040,5686,33,137,0.241,303.6,0.613,0.088
19,518.0,1.2e-05,6590,5678,6577,5646,26,62,0.419,190.0,0.514,0.18
20,927.0,2.1e-05,6443,5677,6437,5607,15,149,0.101,333.3,0.644,0.105
21,694.0,1.6e-05,5006,5657,4986,5600,40,117,0.342,345.9,0.292,0.073
22,716.5,1.6e-05,6810,5617,6780,5591,58,48,1.208,200.9,0.468,0.223
23,801.5,1.8e-05,6932,5619,6900,5582,63,69,0.913,288.1,0.398,0.121
24,842.5,1.9e-05,6501,5584,6452,5565,95,36,2.639,235.9,0.644,0.19
25,576.0,1.3e-05,6568,5602,6548,5563,45,78,0.577,197.1,0.624,0.186
26,732.5,1.7e-05,6902,5543,6881,5506,53,85,0.624,263.3,0.431,0.133
27,517.0,1.2e-05,6785,5511,6767,5487,39,53,0.736,141.3,0.804,0.325
28,969.5,2.2e-05,6899,5490,6868,5460,60,64,0.938,191.9,0.803,0.331
29,919.0,2.1e-05,6765,5472,6739,5448,47,65,0.723,239.5,0.462,0.201
30,1597.0,3.7e-05,6843,5576,6793,5442,79,268,0.295,644.7,0.236,0.048
31,2157.0,5e-05,5817,5593,5744,5438,138,290,0.476,707.4,0.627,0.054
32,2549.0,5.9e-05,7007,5657,6967,5410,79,525,0.15,1158.9,0.284,0.024
33,1036.0,2.4e-05,6633,5503,6612,5408,52,188,0.277,433.1,0.51,0.069
34,504.0,1.2e-05,6881,5422,6855,5400,44,49,0.898,191.1,0.567,0.173
35,1085.0,2.5e-05,4316,5435,4239,5382,181,81,2.235,465.9,0.185,0.063
36,1509.5,3.5e-05,6173,5387,6130,5350,90,75,1.2,359.9,0.398,0.146
37,1604.5,3.7e-05,6596,5477,6560,5344,67,263,0.255,608.4,0.372,0.054
38,611.5,1.4e-05,6679,5395,6664,5341,30,112,0.268,283.8,0.291,0.095
39,857.0,2e-05,6744,5381,6695,5322,92,117,0.786,342.6,0.495,0.092
40,1646.5,3.8e-05,6652,5414,6603,5320,104,184,0.565,685.7,0.149,0.044
41,1152.5,2.7e-05,6865,5339,6771,5299,183,86,2.128,445.1,0.456,0.073
42,838.5,1.9e-05,4250,5349,4204,5296,104,90,1.156,314.4,0.367,0.107
43,854.0,2e-05,6628,5309,6580,5275,94,67,1.403,269.4,0.483,0.148
44,1348.5,3.1e-05,6860,5305,6771,5257,185,95,1.947,475.1,0.483,0.075
45,585.5,1.3e-05,4298,5267,4241,5256,112,19,5.895,255.6,0.446,0.113
46,984.5,2.3e-05,6175,5264,6129,5235,86,56,1.536,272.6,0.627,0.166
47,2481.5,5.7e-05,7040,5442,7026,5222,25,463,0.054,1007.3,0.407,0.031
48,1111.0,2.6e-05,6158,5200,6109,5169,95,68,1.397,271.7,0.783,0.189
