id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,765.0,1.7e-05,5933,6172,5866,6165,153,12,12.75,347.5,0.581,0.08
1,2744.5,6e-05,5580,6172,5291,6165,562,12,46.833,1221.2,0.52,0.023
2,561.0,1.2e-05,6445,6172,6391,6164,111,13,8.538,256.4,0.482,0.107
3,749.0,1.6e-05,6313,6171,6239,6164,148,13,11.385,349.6,0.528,0.077
4,577.5,1.3e-05,445,6169,399,6163,94,13,7.231,212.8,0.662,0.16
5,1212.0,2.7e-05,6625,6171,6506,6162,245,15,16.333,559.8,0.452,0.049
6,685.0,1.5e-05,338,6170,283,6162,114,15,7.6,260.0,0.526,0.127
7,629.5,1.4e-05,172,6169,125,6161,95,16,5.938,222.3,0.574,0.16
8,4266.0,9.4e-05,883,6170,512,6160,769,17,45.235,1725.3,0.413,0.018
9,22845.5,0.000501,3310,6171,1283,6146,4006,31,129.226,8842.0,0.291,0.004
10,2912.5,6.4e-05,7276,6118,7210,6048,158,117,1.35,875.1,0.226,0.048
11,526.0,1.2e-05,5876,6065,5847,6047,49,38,1.289,186.7,0.448,0.19
12,632.5,1.4e-05,3561,6035,3541,6015,52,42,1.238,282.5,0.406,0.1
13,693.0,1.5e-05,3709,6040,3675,6004,64,70,0.914,226.9,0.493,0.169
14,811.0,1.8e-05,4672,6044,4618,5992,112,108,1.037,329.4,0.635,0.094
15,502.0,1.1e-05,5761,6002,5736,5971,46,58,0.793,163.0,0.654,0.237
16,848.0,1.9e-05,3762,6013,3741,5970,34,89,0.382,264.8,0.448,0.152
17,1098.0,2.4e-05,4760,6020,4689,5962,138,127,1.087,412.5,0.42,0.081
18,1354.0,3e-05,3621,6005,3590,5955,72,91,0.791,459.4,0.298,0.081
19,782.5,1.7e-05,5946,6012,5906,5952,74,120,0.617,321.7,0.434,0.095
20,639.0,1.4e-05,4485,5981,4460,5952,40,53,0.755,213.0,0.478,0.177
21,806.5,1.8e-05,1528,5989,1506,5938,47,110,0.427,279.5,0.477,0.13
22,1055.5,2.3e-05,2000,5980,1984,5917,32,127,0.252,321.5,0.419,0.128
23,1303.0,2.9e-05,4521,5953,4428,5905,187,91,2.055,464.1,0.429,0.076
24,880.5,1.9e-05,1850,5936,1815,5898,73,72,1.014,225.3,0.699,0.218
25,617.5,1.4e-05,6019,5920,6003,5880,27,86,0.314,203.4,0.503,0.187
26,1486.0,3.3e-05,5864,5960,5771,5877,172,193,0.891,572.3,0.288,0.057
27,739.5,1.6e-05,456,5931,440,5852,27,178,0.152,402.0,0.408,0.058
28,714.0,1.6e-05,4375,5865,4331,5847,87,44,1.977,220.0,0.529,0.185
29,507.0,1.1e-05,5702,5861,5683,5829,53,51,1.039,221.2,0.327,0.13
30,820.0,1.8e-05,1488,5880,1462,5828,48,107,0.449,291.1,0.553,0.122
31,1046.0,2.3e-05,3089,5861,3062,5819,58,88,0.659,279.0,0.391,0.169
32,1255.0,2.8e-05,5836,5875,5771,5817,132,136,0.971,431.7,0.412,0.085
33,582.5,1.3e-05,6110,5876,6091,5811,44,136,0.324,311.0,0.528,0.076
34,815.5,1.8e-05,3152,5849,3122,5807,73,74,0.986,287.2,0.325,0.124
35,515.5,1.1e-05,3202,5838,3193,5802,20,71,0.282,184.6,0.522,0.19
36,708.5,1.6e-05,3867,5791,3838,5760,51,61,0.836,227.7,0.456,0.172
37,1052.0,2.3e-05,5695,5807,5638,5746,128,112,1.143,386.9,0.371,0.088
38,658.0,1.4e-05,4304,5779,4278,5746,41,62,0.661,229.6,0.425,0.157
39,668.0,1.5e-05,409,5781,380,5744,58,91,0.637,237.8,0.489,0.148
40,514.5,1.1e-05,4262,5757,4240,5730,37,50,0.74,184.3,0.436,0.19
41,540.0,1.2e-05,1233,5741,1197,5729,78,22,3.545,191.5,0.566,0.185
42,714.5,1.6e-05,1025,5756,998,5716,52,82,0.634,220.7,0.563,0.184
43,713.0,1.6e-05,294,5730,250,5716,97,28,3.464,255.0,0.473,0.138
44,852.0,1.9e-05,5714,5769,5661,5713,108,104,1.038,337.8,0.585,0.094
45,2646.0,5.8e-05,2769,5815,2594,5698,347,242,1.434,917.9,0.376,0.039
46,646.5,1.4e-05,745,5719,725,5698,43,45,0.956,246.2,0.461,0.134
47,970.0,2.1e-05,674,5728,643,5698,56,63,0.889,278.7,0.436,0.157
48,552.5,1.2e-05,4208,5730,4181,5695,45,62,0.726,224.1,0.351,0.138
49,1896.5,4.2e-05,2862,5793,2728,5695,273,175,1.56,715.0,0.34,0.047
50,759.5,1.7e-05,1074,5729,1057,5695,48,66,0.727,232.0,0.394,0.177
51,790.0,1.7e-05,178,5726,148,5694,67,79,0.848,307.8,0.281,0.105
52,757.0,1.7e-05,598,5722,583,5692,37,64,0.578,204.7,0.47,0.227
53,2786.5,6.1e-05,926,5849,909,5686,33,321,0.103,721.3,0.509,0.067
54,985.5,2.2e-05,546,5715,530,5682,38,77,0.494,240.4,0.523,0.214
55,1334.0,2.9e-05,4782,5723,4735,5679,81,94,0.862,423.8,0.352,0.093
56,3942.5,8.7e-05,4778,5879,4630,5678,304,407,0.747,1188.7,0.44,0.035
57,912.5,2e-05,1139,5714,1103,5677,57,66,0.864,274.7,0.414,0.152
58,2613.5,5.7e-05,4562,5824,4431,5666,267,289,0.924,868.7,0.303,0.044
59,1598.0,3.5e-05,809,5669,711,5661,193,19,10.158,440.7,0.618,0.103
60,919.5,2e-05,5039,5675,5006,5654,64,49,1.306,248.5,0.512,0.187
61,956.5,2.1e-05,3760,5726,3748,5631,40,184,0.217,446.8,0.285,0.06
62,691.0,1.5e-05,4741,5663,4710,5628,51,63,0.81,227.3,0.38,0.168
63,808.5,1.8e-05,977,5642,940,5617,80,50,1.6,212.9,0.712,0.224
64,2891.5,6.3e-05,442,5795,367,5613,123,410,0.3,1081.4,0.135,0.031
65,835.0,1.8e-05,5299,5630,5269,5612,65,44,1.477,262.4,0.47,0.152
66,3677.5,8.1e-05,4279,5719,4068,5607,367,284,1.292,1141.5,0.152,0.035
67,2179.0,4.8e-05,5137,5758,5078,5604,115,284,0.405,708.6,0.373,0.055
68,2087.5,4.6e-05,574,5635,458,5598,226,76,2.974,535.1,0.712,0.092
69,678.5,1.5e-05,3820,5624,3781,5596,79,62,1.274,231.2,0.659,0.16
70,716.0,1.6e-05,6030,5632,6023,5582,17,95,0.179,266.0,0.664,0.127
71,649.5,1.4e-05,5020,5608,4988,5580,53,51,1.039,185.1,0.52,0.238
72,2146.0,4.7e-05,1346,5684,1247,5577,201,214,0.939,640.2,0.617,0.066
