id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,579.5,1.2e-05,7823,5948,7818,5887,13,116,0.112,249.8,0.609,0.117
1,585.0,1.2e-05,6708,5903,6700,5845,14,118,0.119,253.4,0.652,0.114
2,674.0,1.4e-05,7697,5897,7640,5843,110,100,1.1,322.3,0.452,0.082
3,630.5,1.3e-05,6723,5903,6712,5842,19,121,0.157,267.0,0.52,0.111
4,682.5,1.5e-05,2335,5808,2304,5762,50,92,0.543,236.7,0.466,0.153
5,798.0,1.7e-05,711,5786,652,5735,119,102,1.167,339.6,0.612,0.087
6,1590.0,3.4e-05,11,5845,0,5735,55,238,0.231,662.7,0.139,0.045
7,856.5,1.8e-05,3657,5748,3558,5730,197,50,3.94,443.8,0.365,0.055
8,873.5,1.9e-05,254,5770,216,5710,74,117,0.632,315.4,0.458,0.11
9,672.5,1.4e-05,3096,5725,3034,5684,121,95,1.274,343.7,0.378,0.072
10,773.0,1.6e-05,97,5712,70,5683,60,61,0.984,370.5,0.288,0.071
11,716.5,1.5e-05,4613,5658,4550,5649,116,18,6.444,269.9,0.585,0.124
12,730.0,1.6e-05,747,5685,720,5642,47,78,0.603,267.9,0.343,0.128
13,555.5,1.2e-05,5466,5701,5453,5640,28,123,0.228,279.2,0.607,0.09
14,666.0,1.4e-05,307,5676,284,5628,46,81,0.568,271.9,0.384,0.113
15,585.5,1.2e-05,688,5648,668,5609,37,74,0.5,213.0,0.383,0.162
16,600.5,1.3e-05,207,5612,175,5589,65,50,1.3,240.0,0.411,0.131
17,741.5,1.6e-05,4664,5592,4608,5582,115,19,6.053,266.8,0.591,0.131
18,995.5,2.1e-05,4223,5607,4163,5581,123,40,3.075,364.1,0.386,0.094
19,1584.5,3.4e-05,494,5647,385,5564,225,170,1.324,617.0,0.453,0.052
20,1582.5,3.4e-05,2887,5630,2747,5561,285,122,2.336,712.8,0.3,0.039
21,1621.0,3.4e-05,275,5674,203,5559,136,240,0.567,653.4,0.33,0.048
22,899.0,1.9e-05,3983,5612,3930,5549,102,121,0.843,351.9,0.509,0.091
23,1439.0,3.1e-05,1450,5576,1397,5540,128,78,1.641,525.1,0.242,0.066
24,571.5,1.2e-05,201,5570,168,5537,54,60,0.9,231.6,0.353,0.134
25,846.5,1.8e-05,4284,5539,4223,5529,122,21,5.81,301.6,0.611,0.117
26,598.0,1.3e-05,182,5531,154,5507,54,58,0.931,244.5,0.371,0.126
27,669.0,1.4e-05,5039,5528,5018,5500,41,57,0.719,248.8,0.343,0.136
28,938.0,2e-05,3847,5501,3789,5489,121,29,4.172,316.1,0.558,0.118
29,1106.0,2.4e-05,5424,5564,5395,5474,44,175,0.251,396.9,0.405,0.088
30,558.0,1.2e-05,4681,5507,4656,5469,45,62,0.726,242.0,0.319,0.12
31,682.0,1.5e-05,5088,5481,5040,5463,90,33,2.727,215.7,0.641,0.184
32,594.5,1.3e-05,625,5481,583,5463,91,40,2.275,216.1,0.771,0.16
33,568.0,1.2e-05,5429,5490,5403,5450,50,86,0.581,239.8,0.496,0.124
34,505.0,1.1e-05,3618,5476,3583,5447,73,58,1.259,203.8,0.682,0.153
