id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,1609.0,2.5e-05,5840,8683,5661,8671,376,17,22.118,814.3,0.295,0.03
1,920.5,1.4e-05,6106,8679,6036,8668,128,19,6.737,348.3,0.536,0.095
2,16166.0,0.000252,3800,8682,2301,8667,3024,21,144.0,6350.2,0.356,0.005
3,1806.0,2.8e-05,5496,8680,5330,8663,335,24,13.958,758.3,0.349,0.039
4,778.0,1.2e-05,6165,8671,6099,8652,147,36,4.083,341.8,0.365,0.084
5,1136.5,1.8e-05,565,8412,495,8376,142,78,1.821,383.4,0.449,0.097
6,747.5,1.2e-05,360,8352,311,8331,106,45,2.356,252.2,0.644,0.148
7,518.0,8e-06,876,8340,839,8328,71,24,2.958,185.7,0.465,0.189
8,569.0,9e-06,592,8312,562,8299,55,24,2.292,143.4,0.699,0.348
9,1231.0,1.9e-05,15,8336,0,8269,70,172,0.407,498.9,0.185,0.062
10,573.0,9e-06,535,8278,510,8263,66,28,2.357,227.8,0.435,0.139
11,1326.5,2.1e-05,2806,8323,2743,8216,124,212,0.585,540.0,0.515,0.057
12,611.5,1e-05,3571,8236,3553,8195,29,86,0.337,207.4,0.469,0.179
13,703.0,1.1e-05,3631,8239,3619,8190,22,112,0.196,251.2,0.461,0.14
14,515.5,8e-06,4516,8217,4485,8188,50,49,1.02,173.0,0.468,0.217
15,517.5,8e-06,657,8212,622,8188,63,40,1.575,226.8,0.317,0.126
16,588.5,9e-06,1257,8193,1236,8144,43,106,0.406,278.8,0.53,0.095
17,658.5,1e-05,4615,8164,4600,8122,27,86,0.314,204.6,0.501,0.198
18,715.0,1.1e-05,4537,8126,4520,8083,30,104,0.288,245.3,0.479,0.149
19,609.0,9e-06,5223,8099,5202,8074,48,41,1.171,183.3,0.479,0.228
20,2811.5,4.4e-05,3238,8242,3088,8073,252,434,0.581,1082.7,0.552,0.03
21,827.0,1.3e-05,5249,8056,5230,8023,49,59,0.831,220.3,0.451,0.214
22,761.0,1.2e-05,5308,8076,5295,8020,30,110,0.273,293.8,0.381,0.111
23,658.5,1e-05,701,8030,681,8004,48,51,0.941,205.7,0.476,0.196
24,785.5,1.2e-05,933,7993,889,7956,76,61,1.246,236.6,0.393,0.176
25,578.5,9e-06,1187,7996,1151,7955,61,80,0.762,223.2,0.438,0.146
26,504.0,8e-06,4687,7984,4655,7952,73,73,1.0,221.2,0.685,0.129
27,846.5,1.3e-05,1381,7994,1357,7947,42,91,0.462,250.9,0.489,0.169
28,2495.5,3.9e-05,24,8143,6,7942,96,357,0.269,999.5,0.136,0.031
29,959.5,1.5e-05,2234,7962,2165,7931,123,57,2.158,314.1,0.416,0.122
30,727.0,1.1e-05,1297,7972,1282,7909,28,120,0.233,270.0,0.503,0.125
31,802.0,1.3e-05,1017,7924,1000,7907,35,46,0.761,165.1,0.665,0.37
32,1494.5,2.3e-05,2104,7946,2070,7879,87,140,0.621,427.7,0.393,0.103
33,684.0,1.1e-05,1162,7893,1108,7870,100,38,2.632,251.3,0.413,0.136
34,831.5,1.3e-05,4889,7901,4848,7851,82,109,0.752,332.9,0.492,0.094
35,544.0,8e-06,1146,7854,1118,7841,47,33,1.424,190.5,0.495,0.188
36,1943.5,3e-05,4899,7943,4801,7832,194,219,0.886,647.3,0.479,0.058
37,613.5,1e-05,692,7847,655,7832,67,27,2.481,169.4,0.532,0.269
38,917.0,1.4e-05,978,7867,931,7825,80,73,1.096,245.8,0.469,0.191
39,788.0,1.2e-05,949,7848,902,7817,77,53,1.453,224.1,0.408,0.197
40,1031.0,1.6e-05,1366,7881,1346,7815,45,131,0.344,306.2,0.729,0.138
41,727.5,1.1e-05,600,7853,568,7812,88,84,1.048,298.3,0.278,0.103
42,695.5,1.1e-05,3752,7820,3732,7791,41,72,0.569,247.9,0.398,0.142
43,670.0,1e-05,1098,7827,1081,7789,32,78,0.41,230.0,0.462,0.159
44,620.5,1e-05,3885,7807,3855,7786,56,64,0.875,209.8,0.408,0.177
45,915.0,1.4e-05,3819,7822,3794,7784,54,77,0.701,268.6,0.474,0.159
46,1623.0,2.5e-05,3444,7897,3378,7781,140,224,0.625,569.4,0.668,0.063
47,979.5,1.5e-05,801,7762,779,7742,56,41,1.366,210.8,0.632,0.277
48,530.5,8e-06,5653,7739,5640,7709,24,72,0.333,175.8,0.525,0.216
49,959.5,1.5e-05,1147,7732,1092,7709,95,42,2.262,315.2,0.391,0.121
50,531.5,8e-06,5023,7736,4996,7706,50,62,0.806,199.9,0.59,0.167
51,891.5,1.4e-05,1208,7742,1187,7699,43,76,0.566,265.3,0.427,0.159
52,994.0,1.6e-05,508,7732,492,7685,44,102,0.431,398.2,0.31,0.079
