id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,1019.0,2.2e-05,3976,6316,3883,6311,208,10,20.8,453.1,0.629,0.062
1,1100.0,2.3e-05,3792,6315,3702,6311,179,10,17.9,389.8,0.742,0.091
2,601.0,1.3e-05,1219,6316,1166,6311,118,10,11.8,258.2,0.694,0.113
3,680.5,1.5e-05,4152,6316,4093,6309,127,12,10.583,284.8,0.67,0.105
4,564.0,1.2e-05,3635,6315,3585,6309,97,12,8.083,220.2,0.707,0.146
5,620.5,1.3e-05,74,6315,26,6308,106,13,8.154,258.4,0.559,0.117
6,869.5,1.9e-05,4932,6315,4865,6300,153,21,7.286,374.9,0.471,0.078
7,1250.0,2.7e-05,679,6313,594,6295,179,26,6.885,494.0,0.34,0.064
8,767.0,1.6e-05,1482,6312,1431,6291,103,30,3.433,305.0,0.427,0.104
9,602.5,1.3e-05,1361,6313,1302,6290,107,31,3.452,274.8,0.352,0.1
10,1084.5,2.3e-05,6628,6311,6566,6286,137,35,3.914,404.1,0.249,0.083
11,609.5,1.3e-05,881,6300,850,6282,76,30,2.533,242.4,0.478,0.13
12,1453.0,3.1e-05,560,6306,490,6281,139,40,3.475,531.6,0.423,0.065
13,697.5,1.5e-05,7356,6307,7317,6280,74,40,1.85,243.4,0.33,0.148
14,588.5,1.3e-05,837,6308,810,6280,58,41,1.415,204.5,0.4,0.177
15,602.0,1.3e-05,7009,6303,6993,6278,52,43,1.209,231.3,0.375,0.141
16,766.5,1.6e-05,6580,6277,6551,6247,64,74,0.865,385.4,0.291,0.065
17,3935.5,8.4e-05,7208,6283,7169,6238,87,83,1.048,579.2,0.67,0.147
18,533.5,1.1e-05,1618,6255,1601,6238,40,36,1.111,127.8,0.727,0.411
19,545.0,1.2e-05,7266,6284,7254,6237,21,82,0.256,192.6,0.523,0.185
20,657.5,1.4e-05,7166,6253,7141,6205,39,91,0.429,240.1,0.389,0.143
21,935.5,2e-05,6970,6266,6948,6186,39,135,0.289,386.0,0.316,0.079
22,507.0,1.1e-05,5946,6168,5902,6162,92,20,4.6,218.7,0.474,0.133
23,1506.5,3.2e-05,4568,6160,4478,6111,187,112,1.67,482.6,0.522,0.081
24,588.5,1.3e-05,4457,6131,4393,6099,116,70,1.657,296.8,0.455,0.084
25,597.5,1.3e-05,3075,6132,3062,6099,27,68,0.397,159.6,0.813,0.295
26,680.5,1.5e-05,3860,6129,3836,6092,65,60,1.083,253.2,0.354,0.133
27,1437.0,3.1e-05,4271,6092,4157,6070,220,58,3.793,548.0,0.196,0.06
28,607.5,1.3e-05,1084,6103,1059,6070,47,65,0.723,238.2,0.36,0.135
29,559.5,1.2e-05,6230,6097,6207,6061,39,74,0.527,185.9,0.529,0.203
30,786.5,1.7e-05,3896,6078,3830,6058,145,41,3.537,336.8,0.629,0.087
31,1166.5,2.5e-05,4200,6078,4091,6053,216,52,4.154,485.1,0.338,0.062
32,608.0,1.3e-05,6734,6091,6692,6050,88,86,1.023,264.0,0.652,0.11
33,562.5,1.2e-05,993,6087,972,6050,53,77,0.688,258.7,0.315,0.106
34,1100.5,2.4e-05,4783,6099,4730,6046,101,103,0.981,353.1,0.4,0.111
35,886.5,1.9e-05,4410,6076,4355,6031,117,86,1.36,321.1,0.551,0.108
36,600.0,1.3e-05,3143,6062,3121,6024,40,80,0.5,199.3,0.586,0.19
37,892.0,1.9e-05,4155,6056,4071,6020,148,66,2.242,375.5,0.369,0.079
38,545.0,1.2e-05,4291,6024,4256,6018,75,15,5.0,170.1,0.778,0.237
39,927.5,2e-05,3901,6038,3816,6013,173,51,3.392,398.3,0.61,0.073
40,570.0,1.2e-05,6752,6053,6715,6011,72,82,0.878,237.2,0.639,0.127
41,785.5,1.7e-05,3087,6044,3065,6005,42,86,0.488,280.3,0.503,0.126
42,586.5,1.3e-05,1204,6038,1191,6000,33,71,0.465,244.4,0.425,0.123
43,647.0,1.4e-05,1613,6035,1547,5998,129,75,1.72,325.2,0.597,0.077
44,996.5,2.1e-05,3751,6023,3681,5992,148,68,2.176,377.1,0.503,0.088
45,836.0,1.8e-05,1065,6024,1043,5988,57,81,0.704,341.2,0.286,0.09
46,1040.0,2.2e-05,4853,6049,4838,5986,26,122,0.213,282.7,0.483,0.164
47,557.0,1.2e-05,4816,6012,4802,5983,28,59,0.475,181.8,0.661,0.212
48,535.0,1.1e-05,1229,5985,1209,5963,51,50,1.02,233.6,0.379,0.123
49,586.0,1.3e-05,1611,6001,1563,5957,93,86,1.081,270.8,0.675,0.1
50,554.0,1.2e-05,6667,5991,6627,5954,82,79,1.038,240.7,0.658,0.12
51,591.0,1.3e-05,1495,5961,1457,5946,81,39,2.077,271.6,0.34,0.101
52,708.5,1.5e-05,3631,5951,3587,5933,86,54,1.593,248.2,0.393,0.145
53,1153.5,2.5e-05,7101,5981,7053,5913,126,149,0.846,474.3,0.268,0.064
54,817.0,1.7e-05,5241,5931,5203,5910,77,47,1.638,203.1,0.715,0.249
55,615.0,1.3e-05,1276,5936,1259,5910,49,64,0.766,245.8,0.416,0.128
56,941.0,2e-05,3944,5921,3897,5900,81,57,1.421,310.6,0.336,0.123
57,1400.5,3e-05,5326,5936,5293,5885,82,87,0.943,336.0,0.417,0.156
58,2001.5,4.3e-05,5400,5912,5377,5883,52,58,0.897,177.6,0.949,0.798
59,1569.5,3.4e-05,2175,6037,2151,5883,45,308,0.146,661.7,0.467,0.045
60,1043.0,2.2e-05,3658,5919,3608,5882,103,77,1.338,312.7,0.57,0.134
61,952.0,2e-05,1608,5949,1555,5879,112,147,0.762,404.4,0.612,0.073
62,847.0,1.8e-05,1183,5916,1160,5878,57,90,0.633,325.0,0.295,0.101
63,582.5,1.2e-05,3972,5882,3931,5868,82,30,2.733,204.6,0.517,0.175
64,527.0,1.1e-05,3534,5884,3484,5866,102,31,3.29,238.2,0.396,0.117
65,592.5,1.3e-05,6879,5890,6856,5854,44,73,0.603,207.9,0.395,0.172
66,1212.5,2.6e-05,6637,5927,6562,5853,151,155,0.974,459.8,0.644,0.072
67,517.0,1.1e-05,1547,5889,1530,5852,30,89,0.337,208.4,0.535,0.15
68,1054.5,2.3e-05,4360,5929,4344,5851,33,159,0.208,411.8,0.529,0.078
69,632.5,1.4e-05,1232,5861,1214,5836,39,62,0.629,245.4,0.387,0.132
70,1027.5,2.2e-05,1381,5864,1344,5835,82,93,0.882,396.2,0.261,0.082
71,1011.5,2.2e-05,1481,5885,1428,5834,118,109,1.083,364.5,0.581,0.096
72,1631.0,3.5e-05,3468,5893,3360,5832,222,107,2.075,580.3,0.33,0.061
73,3405.5,7.3e-05,6273,5969,6060,5830,414,301,1.375,1117.1,0.331,0.034
74,1509.5,3.2e-05,4251,5884,4230,5794,35,211,0.166,484.1,0.33,0.081
75,1172.0,2.5e-05,6819,5826,6779,5791,90,70,1.286,363.4,0.384,0.111
76,543.0,1.2e-05,3983,5813,3949,5791,80,43,1.86,203.8,0.59,0.164
77,501.5,1.1e-05,2229,5828,2214,5789,35,84,0.417,209.6,0.55,0.143
78,887.0,1.9e-05,2998,5818,2964,5785,64,70,0.914,281.2,0.428,0.141
79,1017.0,2.2e-05,3181,5819,3133,5783,96,93,1.032,363.0,0.308,0.097
80,1171.5,2.5e-05,3070,5823,3032,5779,72,90,0.8,356.7,0.364,0.116
81,1674.0,3.6e-05,2172,5915,2153,5774,59,283,0.208,649.6,0.343,0.05
82,563.5,1.2e-05,2419,5790,2390,5766,51,45,1.133,193.4,0.411,0.189
83,673.0,1.4e-05,2547,5799,2514,5765,67,67,1.0,207.8,0.623,0.196
84,687.5,1.5e-05,1447,5804,1413,5757,70,95,0.737,259.6,0.539,0.128
85,930.0,2e-05,3389,5807,3321,5756,144,103,1.398,386.9,0.562,0.078
86,896.5,1.9e-05,2611,5778,2590,5754,57,60,0.95,262.9,0.423,0.163
87,590.0,1.3e-05,7043,5802,7008,5750,67,101,0.663,285.4,0.429,0.091
88,668.5,1.4e-05,1797,5775,1751,5748,81,66,1.227,262.1,0.34,0.122
89,627.0,1.3e-05,3304,5778,3258,5746,94,67,1.403,250.9,0.655,0.125
90,520.0,1.1e-05,4821,5776,4791,5745,54,64,0.844,203.5,0.415,0.158
91,719.5,1.5e-05,3257,5773,3212,5744,92,61,1.508,242.5,0.711,0.154
92,712.0,1.5e-05,6765,5777,6744,5738,50,78,0.641,203.6,0.664,0.216
93,983.0,2.1e-05,1135,5756,1121,5735,31,44,0.705,127.4,0.942,0.761
94,628.0,1.3e-05,2219,5807,2192,5731,69,148,0.466,355.5,0.428,0.062
95,865.5,1.8e-05,7119,5760,7092,5730,70,65,1.077,300.3,0.364,0.121
96,918.0,2e-05,3671,5778,3628,5718,88,113,0.779,325.0,0.518,0.109
97,2304.0,4.9e-05,6438,5783,6302,5717,259,187,1.385,757.7,0.221,0.05
98,961.5,2.1e-05,6580,5776,6549,5714,62,119,0.521,301.0,0.629,0.133
99,971.0,2.1e-05,5786,5728,5712,5706,133,52,2.558,326.4,0.498,0.115
100,605.0,1.3e-05,7051,5740,7039,5696,26,99,0.263,261.1,0.428,0.111
101,1196.0,2.6e-05,5543,5735,5459,5692,181,86,2.105,462.4,0.439,0.07
102,690.0,1.5e-05,2479,5688,2422,5678,113,23,4.913,257.3,0.616,0.131
103,617.5,1.3e-05,1166,5711,1136,5677,54,54,1.0,231.4,0.393,0.145
104,787.0,1.7e-05,3495,5743,3481,5673,32,136,0.235,322.1,0.538,0.095
105,507.5,1.1e-05,6980,5701,6941,5669,65,68,0.956,221.2,0.452,0.13
106,1705.0,3.6e-05,6120,5691,5993,5664,238,55,4.327,584.1,0.578,0.063
107,625.5,1.3e-05,6569,5705,6550,5663,37,88,0.42,212.4,0.71,0.174
108,843.5,1.8e-05,4960,5674,4932,5662,55,27,2.037,140.7,0.93,0.536
109,2993.5,6.4e-05,3044,5687,2879,5652,330,97,3.402,822.6,0.358,0.056
110,1371.0,2.9e-05,3108,5677,3005,5651,199,65,3.062,453.5,0.516,0.084
111,1098.5,2.3e-05,2753,5669,2672,5651,167,39,4.282,398.8,0.58,0.087
112,668.5,1.4e-05,3190,5669,3135,5648,113,52,2.173,277.2,0.547,0.109
113,502.0,1.1e-05,1008,5674,979,5642,46,72,0.639,205.5,0.395,0.149
114,3313.5,7.1e-05,6290,5690,6061,5639,459,142,3.232,1125.7,0.227,0.033
115,506.0,1.1e-05,2018,5652,1999,5634,46,50,0.92,194.2,0.385,0.169
116,3129.0,6.7e-05,2773,5646,2515,5627,489,40,12.225,1065.8,0.304,0.035
117,1336.5,2.9e-05,1862,5660,1843,5626,40,57,0.702,165.8,0.879,0.611
118,1039.5,2.2e-05,7047,5665,7004,5623,105,72,1.458,356.6,0.328,0.103
119,710.0,1.5e-05,2264,5684,2223,5621,80,124,0.645,325.6,0.421,0.084
120,824.0,1.8e-05,2439,5644,2368,5619,146,43,3.395,342.6,0.444,0.088
121,601.0,1.3e-05,6526,5651,6514,5618,30,66,0.455,179.1,0.527,0.235
122,944.5,2e-05,6498,5682,6441,5611,103,140,0.736,383.1,0.375,0.081
123,761.5,1.6e-05,3769,5667,3727,5611,91,109,0.835,320.4,0.394,0.093
124,1940.0,4.1e-05,4139,5711,4018,5606,223,183,1.219,633.2,0.394,0.061
125,640.0,1.4e-05,5719,5648,5710,5603,18,96,0.188,236.9,0.517,0.143
126,1705.0,3.6e-05,5203,5630,5090,5602,216,74,2.919,518.6,0.332,0.08
127,1852.5,4e-05,5861,5634,5740,5598,252,70,3.6,642.5,0.41,0.056
128,988.0,2.1e-05,3682,5633,3638,5595,71,98,0.724,477.6,0.194,0.054
129,843.0,1.8e-05,1079,5612,1063,5595,35,38,0.921,125.1,0.919,0.677
130,618.5,1.3e-05,6496,5617,6485,5592,37,58,0.638,199.9,0.507,0.194
131,939.5,2e-05,6617,5641,6606,5576,19,132,0.144,291.0,0.594,0.139
132,1237.5,2.6e-05,6282,5584,6197,5574,181,22,8.227,410.8,0.599,0.092
133,558.0,1.2e-05,6464,5587,6450,5568,38,44,0.864,168.0,0.601,0.248
134,571.5,1.2e-05,6583,5612,6574,5564,18,96,0.188,212.5,0.576,0.159
135,503.5,1.1e-05,1631,5573,1605,5555,60,47,1.277,178.1,0.466,0.2
136,672.5,1.4e-05,7003,5593,6987,5553,36,88,0.409,232.4,0.399,0.157
137,1112.0,2.4e-05,1701,5651,1681,5551,39,205,0.19,453.3,0.501,0.068
138,2704.5,5.8e-05,1272,5690,1119,5547,308,287,1.073,940.9,0.444,0.038
139,688.5,1.5e-05,3707,5562,3675,5543,61,52,1.173,294.7,0.323,0.1
140,1082.5,2.3e-05,6492,5548,6410,5540,155,27,5.741,367.7,0.414,0.101
141,999.0,2.1e-05,6690,5554,6627,5537,126,37,3.405,307.8,0.612,0.133
142,1065.0,2.3e-05,5997,5558,5920,5521,158,65,2.431,384.2,0.435,0.091
143,750.0,1.6e-05,3067,5543,2999,5521,138,43,3.209,314.9,0.665,0.095
144,666.5,1.4e-05,6792,5531,6754,5511,76,33,2.303,209.9,0.575,0.19
145,705.0,1.5e-05,7209,5584,7178,5510,56,154,0.364,370.0,0.365,0.065
146,583.0,1.2e-05,7033,5535,7008,5504,58,68,0.853,223.1,0.602,0.147
147,517.5,1.1e-05,6928,5537,6909,5500,42,70,0.6,199.4,0.626,0.164
148,502.0,1.1e-05,1965,5523,1951,5499,37,53,0.698,185.2,0.499,0.184
149,1036.0,2.2e-05,7265,5536,7238,5498,58,65,0.892,331.8,0.406,0.118
150,803.0,1.7e-05,6730,5514,6653,5494,152,43,3.535,354.2,0.476,0.08
151,1429.5,3.1e-05,2793,5515,2771,5494,48,44,1.091,151.0,0.95,0.788
152,781.5,1.7e-05,968,5550,948,5491,43,116,0.371,277.0,0.651,0.128
153,624.0,1.3e-05,6588,5507,6560,5474,50,71,0.704,262.6,0.286,0.114
154,792.5,1.7e-05,2930,5533,2887,5471,89,137,0.65,352.7,0.51,0.08
155,621.0,1.3e-05,6891,5498,6874,5457,43,90,0.478,235.1,0.568,0.141
156,863.0,1.8e-05,7234,5475,7211,5450,52,56,0.929,312.4,0.398,0.111
157,778.5,1.7e-05,5833,5479,5776,5442,109,71,1.535,318.4,0.47,0.096
158,884.5,1.9e-05,6728,5461,6672,5437,116,52,2.231,307.8,0.624,0.117
159,827.0,1.8e-05,2826,5452,2789,5434,95,32,2.969,236.2,0.609,0.186
160,1369.5,2.9e-05,1988,5464,1886,5426,204,79,2.582,573.9,0.463,0.052
161,690.0,1.5e-05,2344,5491,2324,5421,34,142,0.239,318.7,0.441,0.085
162,922.5,2e-05,1046,5482,981,5419,135,128,1.055,412.3,0.398,0.068
163,527.0,1.1e-05,1433,5445,1406,5416,54,60,0.9,204.6,0.43,0.158
164,979.5,2.1e-05,6877,5466,6832,5411,92,107,0.86,313.4,0.5,0.125
165,693.0,1.5e-05,3879,5453,3836,5409,88,85,1.035,264.7,0.678,0.124
166,958.0,2e-05,7050,5447,7010,5404,91,74,1.23,344.3,0.287,0.102
167,1602.0,3.4e-05,858,5438,767,5403,160,72,2.222,670.2,0.287,0.045
168,833.0,1.8e-05,6843,5450,6807,5401,72,95,0.758,277.0,0.511,0.136
169,3177.5,6.8e-05,4359,5609,4342,5400,39,447,0.087,999.4,0.317,0.04
170,3216.0,6.9e-05,4806,5521,4624,5391,382,245,1.559,1050.3,0.233,0.037
171,1074.0,2.3e-05,2550,5462,2538,5374,25,181,0.138,423.6,0.388,0.075
172,984.0,2.1e-05,5107,5423,5093,5372,29,102,0.284,278.3,0.581,0.16
173,883.0,1.9e-05,3513,5451,3508,5366,17,161,0.106,361.3,0.46,0.085
174,613.5,1.3e-05,3143,5381,3094,5349,99,81,1.222,280.4,0.387,0.098
175,563.0,1.2e-05,7005,5378,6975,5343,60,72,0.833,222.6,0.609,0.143
176,4401.5,9.4e-05,5614,5501,5337,5341,596,282,2.113,1561.3,0.183,0.023
177,3109.0,6.6e-05,5497,5486,5284,5340,427,258,1.655,1126.1,0.219,0.031
178,723.5,1.5e-05,5870,5378,5856,5328,29,89,0.326,209.1,0.729,0.208
179,602.5,1.3e-05,1413,5334,1389,5318,57,45,1.267,227.4,0.375,0.146
180,986.5,2.1e-05,7106,5392,7056,5302,107,181,0.591,491.6,0.373,0.051
181,684.0,1.5e-05,5597,5339,5564,5298,79,74,1.068,251.9,0.445,0.135
182,718.0,1.5e-05,571,5308,496,5293,125,30,4.167,304.2,0.461,0.098
183,848.0,1.8e-05,6957,5338,6925,5285,68,117,0.581,328.2,0.398,0.099
184,500.0,1.1e-05,1519,5297,1474,5280,97,39,2.487,227.8,0.629,0.121
185,605.5,1.3e-05,5801,5317,5784,5275,44,76,0.579,202.4,0.556,0.186
186,1025.5,2.2e-05,3609,5297,3541,5239,150,94,1.596,418.3,0.253,0.074
187,1889.5,4e-05,1374,5274,1250,5239,262,76,3.447,678.7,0.478,0.052
188,1113.0,2.4e-05,4957,5269,4927,5215,74,118,0.627,415.4,0.255,0.081
189,643.0,1.4e-05,3750,5236,3713,5215,78,43,1.814,202.3,0.732,0.197
190,965.5,2.1e-05,5261,5255,5220,5207,86,103,0.835,349.9,0.561,0.099
191,3098.0,6.6e-05,2304,5365,2175,5195,207,380,0.545,1015.1,0.177,0.038
192,572.0,1.2e-05,3085,5220,3063,5182,50,66,0.758,187.6,0.611,0.204
193,917.0,2e-05,1978,5250,1930,5182,87,141,0.617,374.3,0.356,0.082
194,2432.0,5.2e-05,3272,5213,3077,5181,393,69,5.696,906.9,0.202,0.037
195,1227.5,2.6e-05,7134,5229,7046,5180,176,98,1.796,454.8,0.478,0.075
196,536.0,1.1e-05,4506,5185,4490,5168,48,48,1.0,218.7,0.353,0.141
197,721.0,1.5e-05,6120,5184,6084,5157,72,61,1.18,243.8,0.525,0.152
198,953.0,2e-05,1741,5175,1707,5155,58,38,1.526,175.7,0.718,0.388
199,1063.0,2.3e-05,4468,5218,4420,5154,118,116,1.017,398.9,0.335,0.084
200,806.0,1.7e-05,5482,5193,5448,5150,63,88,0.716,254.0,0.655,0.157
201,1300.5,2.8e-05,3746,5171,3707,5140,88,71,1.239,403.3,0.337,0.1
202,1809.5,3.9e-05,6959,5267,6876,5138,144,244,0.59,706.1,0.221,0.046
203,1924.0,4.1e-05,513,5158,462,5123,100,94,1.064,521.2,0.26,0.089
204,954.5,2e-05,405,5160,365,5117,57,92,0.62,364.4,0.24,0.09
205,500.5,1.1e-05,1722,5129,1697,5116,57,30,1.9,143.0,0.803,0.308
206,578.5,1.2e-05,6497,5134,6475,5106,40,50,0.8,155.6,0.636,0.3
207,791.0,1.7e-05,339,5144,319,5104,65,98,0.663,313.9,0.267,0.101
208,970.0,2.1e-05,5080,5163,5023,5098,114,129,0.884,388.2,0.553,0.081
209,918.0,2e-05,2988,5110,2921,5089,138,68,2.029,365.8,0.25,0.086
210,810.5,1.7e-05,1737,5102,1693,5086,94,35,2.686,239.6,0.608,0.177
211,617.5,1.3e-05,4501,5118,4466,5085,69,69,1.0,242.5,0.464,0.132
212,718.0,1.5e-05,6076,5102,6060,5074,36,61,0.59,200.8,0.551,0.224
213,672.5,1.4e-05,3765,5085,3729,5068,67,41,1.634,224.6,0.445,0.168
214,706.5,1.5e-05,7234,5124,7228,5065,15,119,0.126,284.9,0.536,0.109
215,2263.0,4.8e-05,6805,5227,6727,5064,147,322,0.457,803.6,0.496,0.044
216,673.5,1.4e-05,4700,5092,4672,5064,64,58,1.103,195.5,0.685,0.221
217,1001.5,2.1e-05,2136,5128,2094,5060,82,132,0.621,350.2,0.572,0.103
218,608.5,1.3e-05,5990,5082,5972,5048,39,62,0.629,173.6,0.74,0.254
219,1144.5,2.4e-05,2556,5103,2491,5047,126,127,0.992,399.1,0.472,0.09
220,562.0,1.2e-05,6948,5075,6916,5038,68,75,0.907,223.4,0.577,0.141
221,703.5,1.5e-05,1753,5043,1711,5026,92,36,2.556,224.1,0.597,0.176
222,758.0,1.6e-05,4480,5062,4455,5024,58,78,0.744,223.3,0.553,0.191
223,1053.5,2.2e-05,6472,5064,6449,5010,50,107,0.467,289.9,0.438,0.157
224,894.0,1.9e-05,4693,5040,4666,5007,53,60,0.883,272.4,0.454,0.151
225,718.5,1.5e-05,6993,5060,6982,5006,25,99,0.253,257.2,0.557,0.136
226,762.0,1.6e-05,3754,5016,3714,4995,82,45,1.822,227.3,0.591,0.185
227,559.5,1.2e-05,6702,5027,6670,4994,62,68,0.912,205.7,0.62,0.166
228,547.0,1.2e-05,5971,4997,5945,4982,51,32,1.594,192.7,0.486,0.185
229,598.5,1.3e-05,6801,4997,6781,4979,50,40,1.25,220.1,0.404,0.155
230,546.5,1.2e-05,4476,4988,4448,4975,56,25,2.24,158.4,0.572,0.274
231,603.0,1.3e-05,6436,4988,6409,4971,58,34,1.706,192.2,0.509,0.205
232,576.0,1.2e-05,1781,4996,1759,4971,56,39,1.436,173.5,0.48,0.24
233,508.5,1.1e-05,5027,4987,5006,4965,44,45,0.978,135.9,0.84,0.346
234,916.5,2e-05,2291,4973,2251,4964,88,24,3.667,217.1,0.602,0.244
235,536.5,1.1e-05,1721,4978,1693,4963,63,30,2.1,163.8,0.712,0.251
236,944.5,2e-05,2683,5003,2620,4959,118,87,1.356,350.0,0.512,0.097
237,628.5,1.3e-05,7135,4977,7103,4955,71,45,1.578,200.4,0.601,0.197
238,955.5,2e-05,2774,5043,2751,4953,52,162,0.321,392.8,0.362,0.078
239,889.5,1.9e-05,4676,4977,4642,4949,73,55,1.327,286.3,0.426,0.136
240,3138.0,6.7e-05,5156,5134,5069,4937,215,398,0.54,1025.6,0.276,0.037
241,1442.0,3.1e-05,4358,5026,4317,4936,89,186,0.478,458.1,0.579,0.086
242,1763.0,3.8e-05,5532,5020,5447,4928,175,181,0.967,704.5,0.568,0.045
243,585.0,1.2e-05,1198,4934,1172,4918,58,40,1.45,216.7,0.394,0.157
244,2565.0,5.5e-05,4610,5051,4580,4917,64,276,0.232,627.4,0.698,0.082
245,881.5,1.9e-05,6736,4939,6709,4913,56,54,1.037,342.6,0.386,0.094
246,6425.0,0.000137,6307,5164,6005,4907,635,516,1.231,1906.4,0.344,0.022
247,503.5,1.1e-05,7264,4928,7247,4903,49,64,0.766,264.2,0.292,0.091
248,801.5,1.7e-05,7231,4975,7221,4901,21,157,0.134,352.6,0.551,0.081
249,2551.0,5.4e-05,4312,5066,4216,4899,180,360,0.5,902.9,0.304,0.039
250,1025.0,2.2e-05,3827,4899,3734,4894,191,13,14.692,433.7,0.606,0.068
251,511.0,1.1e-05,6903,4900,6872,4891,64,21,3.048,177.1,0.524,0.205
252,3468.5,7.4e-05,5849,5138,5676,4884,351,529,0.664,1407.8,0.325,0.022
253,1001.5,2.1e-05,4658,4915,4618,4882,82,58,1.414,329.4,0.391,0.116
254,586.0,1.3e-05,3678,4893,3622,4882,111,21,5.286,253.0,0.631,0.115
255,1386.5,3e-05,7119,4900,7098,4879,45,44,1.023,145.0,0.959,0.829
256,570.5,1.2e-05,4488,4891,4445,4877,81,27,3.0,192.6,0.676,0.193
257,603.0,1.3e-05,6977,4920,6966,4869,22,111,0.198,257.8,0.582,0.114
258,788.0,1.7e-05,4820,4881,4787,4854,61,54,1.13,247.4,0.438,0.162
259,3209.0,6.9e-05,4754,5052,4653,4851,160,350,0.457,962.9,0.13,0.043
260,1591.5,3.4e-05,2331,4889,2283,4851,100,65,1.538,432.1,0.404,0.107
261,645.5,1.4e-05,4672,4852,4614,4842,116,25,4.64,269.2,0.488,0.112
262,932.0,2e-05,6595,4890,6556,4831,90,126,0.714,367.4,0.53,0.087
263,1810.5,3.9e-05,4416,4863,4261,4825,308,71,4.338,739.9,0.211,0.042
264,914.5,2e-05,3501,4853,3430,4823,149,57,2.614,385.3,0.378,0.077
265,2248.5,4.8e-05,6884,4847,6857,4821,59,54,1.093,183.9,0.965,0.835
266,1229.0,2.6e-05,2373,4805,2327,4791,91,51,1.784,331.1,0.413,0.141
267,584.0,1.2e-05,7078,4811,7042,4789,74,47,1.574,191.1,0.714,0.201
268,847.0,1.8e-05,4817,4810,4787,4774,58,60,0.967,284.7,0.395,0.131
269,978.5,2.1e-05,4660,4809,4587,4768,146,60,2.433,396.8,0.266,0.078
270,4453.0,9.5e-05,2091,5090,1890,4756,435,663,0.656,1699.6,0.202,0.019
271,1788.0,3.8e-05,1960,4856,1913,4751,112,212,0.528,576.4,0.45,0.068
272,683.5,1.5e-05,4948,4779,4923,4743,64,71,0.901,226.8,0.46,0.167
273,689.5,1.5e-05,4546,4776,4528,4740,43,73,0.589,206.4,0.654,0.203
274,5216.0,0.000111,2033,5063,1857,4738,413,624,0.662,1726.7,0.147,0.022
275,1820.5,3.9e-05,3291,4782,3168,4737,253,93,2.72,622.3,0.547,0.059
276,1490.0,3.2e-05,6780,4846,6712,4730,141,224,0.629,591.1,0.457,0.054
277,3517.5,7.5e-05,1284,4963,1243,4722,110,493,0.223,1103.8,0.268,0.036
278,596.0,1.3e-05,4815,4749,4789,4719,53,62,0.855,203.8,0.516,0.18
279,1413.5,3e-05,5894,4803,5812,4712,159,166,0.958,500.6,0.508,0.071
280,597.5,1.3e-05,2427,4738,2414,4709,35,52,0.673,171.0,0.545,0.257
281,637.0,1.4e-05,7189,4764,7168,4705,39,119,0.328,280.3,0.544,0.102
282,677.0,1.4e-05,4001,4734,3963,4703,77,71,1.085,236.2,0.541,0.152
283,907.5,1.9e-05,1270,4715,1190,4702,144,38,3.789,333.2,0.549,0.103
284,946.5,2e-05,4764,4775,4741,4700,47,143,0.329,334.0,0.598,0.107
285,928.5,2e-05,2406,4703,2358,4695,109,21,5.19,286.1,0.591,0.143
286,993.0,2.1e-05,5899,4702,5830,4689,137,26,5.269,332.1,0.597,0.113
287,689.5,1.5e-05,7042,4716,7006,4684,69,61,1.131,240.5,0.445,0.15
288,1584.0,3.4e-05,4071,4753,3989,4682,168,146,1.151,488.4,0.45,0.083
289,907.5,1.9e-05,6948,4767,6925,4680,47,171,0.275,391.0,0.563,0.075
290,1436.0,3.1e-05,5223,4710,5182,4667,87,105,0.829,626.0,0.248,0.046
291,3737.5,8e-05,5115,4949,5040,4666,183,538,0.34,1275.1,0.223,0.029
292,1557.5,3.3e-05,2702,4792,2644,4666,108,262,0.412,634.5,0.393,0.049
293,1253.0,2.7e-05,6514,4740,6466,4653,91,174,0.523,438.1,0.659,0.082
294,1024.0,2.2e-05,1709,4698,1627,4649,174,100,1.74,443.4,0.441,0.065
295,1529.5,3.3e-05,3009,4687,2890,4644,249,91,2.736,590.7,0.598,0.055
296,551.0,1.2e-05,6688,4680,6658,4643,56,86,0.651,236.1,0.471,0.124
297,2174.0,4.6e-05,5039,4799,5009,4643,66,291,0.227,678.9,0.556,0.059
298,682.5,1.5e-05,5622,4664,5576,4642,96,44,2.182,237.7,0.632,0.152
299,2263.5,4.8e-05,6123,4691,5970,4631,296,85,3.482,728.9,0.256,0.054
300,744.0,1.6e-05,4750,4706,4726,4628,40,151,0.265,346.9,0.426,0.078
301,1337.5,2.9e-05,6824,4680,6772,4626,107,90,1.189,566.5,0.269,0.052
