id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,1082.0,2.1e-05,417,6572,319,6567,204,11,18.545,449.6,0.635,0.067
1,2628.5,5e-05,785,6571,525,6563,497,15,33.133,1091.7,0.535,0.028
2,3033.5,5.8e-05,1270,6567,1028,6558,485,16,30.312,1067.4,0.559,0.033
3,2937.5,5.6e-05,1772,6564,1534,6553,482,18,26.778,1074.1,0.466,0.032
4,3118.5,6e-05,2302,6562,2018,6552,567,17,33.353,1285.7,0.4,0.024
5,23085.5,0.000441,4308,6545,2589,6518,3456,47,73.532,7604.2,0.411,0.005
6,532.5,1e-05,7789,6543,7785,6506,10,72,0.139,158.9,0.911,0.265
7,509.5,1e-05,7721,6514,7677,6502,100,20,5.0,263.2,0.401,0.092
8,9718.5,0.000186,6811,6525,6046,6497,1501,39,38.487,3355.1,0.369,0.011
9,570.0,1.1e-05,3608,6422,3584,6396,59,56,1.054,268.1,0.294,0.1
10,555.0,1.1e-05,3654,6406,3604,6378,92,58,1.586,244.9,0.525,0.116
11,756.0,1.4e-05,4646,6332,4585,6311,119,49,2.429,348.2,0.395,0.078
12,552.5,1.1e-05,892,6318,827,6307,100,22,4.545,335.4,0.414,0.062
13,772.5,1.5e-05,3437,6333,3380,6295,116,71,1.634,322.3,0.395,0.093
14,611.0,1.2e-05,605,6320,549,6295,125,38,3.289,309.3,0.316,0.08
15,840.5,1.6e-05,4222,6309,4195,6280,53,64,0.828,262.0,0.394,0.154
16,599.5,1.1e-05,4163,6305,4140,6277,50,55,0.909,213.9,0.415,0.165
17,2331.0,4.5e-05,3823,6347,3750,6269,196,168,1.167,876.9,0.171,0.038
18,1178.5,2.3e-05,5637,6330,5558,6267,151,122,1.238,436.9,0.439,0.078
19,868.0,1.7e-05,1284,6293,1225,6263,95,79,1.203,375.0,0.224,0.078
20,594.0,1.1e-05,6221,6284,6202,6262,42,46,0.913,246.0,0.422,0.123
21,800.0,1.5e-05,4587,6270,4510,6259,155,33,4.697,372.4,0.384,0.072
22,1053.0,2e-05,3328,6296,3249,6257,129,115,1.122,459.0,0.175,0.063
23,745.0,1.4e-05,5082,6285,5059,6236,59,104,0.567,312.6,0.309,0.096
24,592.5,1.1e-05,3196,6240,3156,6227,82,28,2.929,217.2,0.533,0.158
25,919.5,1.8e-05,5445,6274,5389,6211,121,127,0.953,381.3,0.427,0.079
26,2476.0,4.7e-05,4267,6258,4062,6209,404,115,3.513,957.0,0.272,0.034
27,1536.5,2.9e-05,4343,6238,4213,6193,260,78,3.333,609.3,0.326,0.052
28,1002.5,1.9e-05,6121,6266,6087,6180,71,157,0.452,383.9,0.502,0.085
29,571.5,1.1e-05,6485,6198,6447,6168,76,63,1.206,212.5,0.673,0.159
30,1113.5,2.1e-05,5080,6201,5038,6166,93,65,1.431,443.4,0.28,0.071
31,516.5,1e-05,3687,6166,3661,6145,55,37,1.486,190.3,0.478,0.179
32,521.5,1e-05,5360,6175,5352,6135,17,82,0.207,187.6,0.597,0.186
