id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,1347.0,2.7e-05,1452,5640,1446,5482,20,300,0.067,686.0,0.419,0.036
1,2450.5,4.9e-05,8623,5566,8615,5346,16,436,0.037,973.1,0.507,0.033
2,635.5,1.3e-05,1458,5397,1452,5324,14,155,0.09,362.6,0.494,0.061
3,583.0,1.2e-05,4752,5273,4735,5236,39,75,0.52,211.8,0.592,0.163
4,877.5,1.7e-05,8622,5258,8616,5179,14,162,0.086,367.0,0.566,0.082
5,2456.0,4.9e-05,5756,5184,5531,5170,457,37,12.351,1007.1,0.356,0.03
6,1296.5,2.6e-05,4629,5195,4547,5167,172,49,3.51,401.0,0.492,0.101
7,674.5,1.3e-05,6060,5161,5991,5145,142,30,4.733,322.6,0.582,0.081
8,522.5,1e-05,6709,5165,6683,5143,69,42,1.643,254.4,0.343,0.101
9,502.5,1e-05,6771,5127,6745,5107,47,42,1.119,231.2,0.437,0.118
10,1285.0,2.6e-05,4618,5124,4540,5097,164,55,2.982,380.9,0.684,0.111
11,1009.0,2e-05,2542,5089,2502,5065,83,76,1.092,403.5,0.229,0.078
12,1297.5,2.6e-05,1465,5150,1459,5023,15,251,0.06,572.6,0.508,0.05
13,992.5,2e-05,8621,5080,8610,4983,18,194,0.093,485.1,0.374,0.053
14,527.5,1.1e-05,6487,4955,6457,4923,61,66,0.924,196.8,0.734,0.171
15,502.5,1e-05,6593,4936,6561,4909,61,58,1.052,179.5,0.677,0.196
16,607.5,1.2e-05,4569,4912,4526,4891,83,38,2.184,198.4,0.622,0.194
17,550.0,1.1e-05,6732,4860,6702,4835,64,51,1.255,207.1,0.572,0.161
18,704.5,1.4e-05,7259,4891,7208,4822,73,122,0.598,360.0,0.175,0.068
19,727.5,1.4e-05,6923,4851,6915,4800,18,100,0.18,229.1,0.711,0.174
20,1683.0,3.4e-05,3256,4835,3111,4799,296,76,3.895,666.4,0.639,0.048
21,846.0,1.7e-05,4505,4824,4440,4798,136,50,2.72,385.6,0.206,0.071
22,609.0,1.2e-05,1471,4820,1468,4749,14,139,0.101,315.7,0.504,0.077
23,1305.5,2.6e-05,2885,4747,2753,4716,267,65,4.108,603.3,0.596,0.045
24,767.5,1.5e-05,8619,4753,8612,4686,14,137,0.102,329.2,0.531,0.089
25,537.5,1.1e-05,7284,4609,7229,4595,112,44,2.545,267.5,0.334,0.094
26,1093.5,2.2e-05,1476,4633,1471,4522,14,222,0.063,494.8,0.53,0.056
27,648.5,1.3e-05,8620,4564,8614,4497,14,129,0.109,291.9,0.56,0.096
28,705.0,1.4e-05,3718,4470,3700,4404,53,122,0.434,354.2,0.226,0.071
29,683.0,1.4e-05,3738,4377,3716,4340,62,75,0.827,306.7,0.304,0.091
30,554.0,1.1e-05,3609,4380,3600,4325,29,103,0.282,245.0,0.365,0.116
31,1724.5,3.4e-05,4624,4383,4556,4282,143,232,0.616,606.1,0.469,0.059
32,1234.0,2.5e-05,8621,4363,8613,4247,19,248,0.077,566.6,0.456,0.048
33,1530.5,3e-05,4621,4306,4561,4227,117,162,0.722,455.9,0.675,0.093
34,903.5,1.8e-05,1483,4336,1479,4225,11,223,0.049,486.7,0.562,0.048
35,678.0,1.3e-05,4112,4218,4066,4197,101,38,2.658,280.2,0.316,0.108
36,548.0,1.1e-05,3258,4227,3244,4181,32,104,0.308,238.5,0.644,0.121
37,535.0,1.1e-05,3982,4151,3935,4132,84,34,2.471,220.1,0.328,0.139
38,612.5,1.2e-05,8620,4180,8614,4124,14,121,0.116,279.6,0.492,0.098
39,1434.5,2.9e-05,3634,4051,3613,4031,44,43,1.023,149.2,0.96,0.81
40,596.0,1.2e-05,3896,4065,3879,4029,43,79,0.544,224.9,0.349,0.148
41,991.5,2e-05,3653,3993,3619,3961,72,60,1.2,305.0,0.399,0.134
42,3717.5,7.4e-05,4358,4079,4164,3908,381,361,1.055,1166.1,0.388,0.034
43,3451.5,6.9e-05,4415,4064,4253,3900,313,325,0.963,979.8,0.445,0.045
44,2848.5,5.7e-05,7265,4073,7195,3872,140,403,0.347,936.2,0.606,0.041
45,1655.5,3.3e-05,1494,3876,1489,3709,15,327,0.046,731.3,0.488,0.039
46,760.5,1.5e-05,8623,3762,8616,3697,18,138,0.13,351.3,0.413,0.077
47,782.0,1.6e-05,8621,3634,8599,3567,35,126,0.278,389.7,0.306,0.065
48,582.0,1.2e-05,7460,3497,7443,3448,41,102,0.402,297.8,0.264,0.082
49,2342.0,4.7e-05,5881,3476,5821,3417,141,126,1.119,666.9,0.247,0.066
50,768.0,1.5e-05,7419,3454,7407,3392,22,132,0.167,301.1,0.557,0.106
51,567.0,1.1e-05,8623,3432,8615,3388,15,100,0.15,243.8,0.545,0.12
52,1165.0,2.3e-05,5884,3387,5822,3360,123,46,2.674,353.6,0.593,0.117
53,1302.0,2.6e-05,5889,3319,5838,3284,107,74,1.446,297.5,0.791,0.185
54,933.5,1.9e-05,7425,3307,7419,3244,15,123,0.122,333.2,0.657,0.106
55,769.5,1.5e-05,7513,3278,7501,3229,25,102,0.245,257.1,0.638,0.146
56,2102.0,4.2e-05,5885,3197,5827,3154,132,108,1.222,567.7,0.274,0.082
57,662.5,1.3e-05,7495,3179,7488,3137,19,84,0.226,197.6,0.796,0.213
58,1550.0,3.1e-05,8626,3193,8619,3065,16,267,0.06,630.0,0.464,0.049
59,795.0,1.6e-05,1511,3162,1506,3065,14,197,0.071,449.6,0.504,0.049
60,1186.5,2.4e-05,5880,3076,5826,3041,118,69,1.71,340.2,0.714,0.129
61,673.5,1.3e-05,7405,3094,7387,3033,35,109,0.321,264.6,0.626,0.121
62,693.5,1.4e-05,3163,3002,3138,2961,53,79,0.671,213.9,0.671,0.191
63,1843.0,3.7e-05,2992,2939,2850,2917,264,42,6.286,583.7,0.675,0.068
64,1293.5,2.6e-05,2752,2912,2664,2902,183,22,8.318,403.7,0.701,0.1
65,1421.0,2.8e-05,3188,2980,3157,2891,88,171,0.515,424.8,0.393,0.099
66,597.0,1.2e-05,3128,2921,3114,2869,29,90,0.322,243.3,0.447,0.127
67,1020.5,2e-05,7348,2840,7337,2779,27,121,0.223,279.6,0.757,0.164
68,740.5,1.5e-05,2959,2786,2923,2768,79,44,1.795,280.5,0.355,0.118
69,1081.0,2.2e-05,7433,2835,7425,2755,21,163,0.129,398.0,0.547,0.086
70,904.5,1.8e-05,3120,2779,3113,2712,16,151,0.106,338.1,0.624,0.099
71,640.5,1.3e-05,3146,2754,3137,2709,19,92,0.207,232.4,0.585,0.149
72,982.0,2e-05,2939,2735,2897,2709,80,54,1.481,266.4,0.468,0.174
73,722.0,1.4e-05,2653,2735,2648,2674,13,118,0.11,272.7,0.641,0.122
74,3047.5,6.1e-05,2898,2683,2666,2663,460,47,9.787,1081.8,0.33,0.033
75,917.5,1.8e-05,7337,2718,7330,2660,17,118,0.144,284.9,0.61,0.142
76,1930.0,3.8e-05,8630,2736,8622,2571,15,347,0.043,817.8,0.445,0.036
77,1308.5,2.6e-05,2535,2618,2420,2570,221,88,2.511,524.7,0.51,0.06
78,4474.0,8.9e-05,2808,2629,2453,2546,682,120,5.683,1543.0,0.215,0.024
79,2942.5,5.9e-05,2792,2469,2528,2440,512,49,10.449,1148.2,0.403,0.028
80,1051.0,2.1e-05,2729,2443,2635,2433,187,20,9.35,426.9,0.603,0.072
81,649.5,1.3e-05,1530,2386,1526,2312,14,147,0.095,331.9,0.483,0.074
82,763.0,1.5e-05,3280,2332,3198,2302,170,58,2.931,392.9,0.572,0.062
83,513.5,1e-05,3441,2277,3374,2257,123,47,2.617,288.4,0.594,0.078
84,844.0,1.7e-05,3818,2238,3752,2229,132,22,6.0,309.3,0.637,0.111
85,1051.0,2.1e-05,3584,2238,3502,2220,165,40,4.125,387.9,0.594,0.088
86,974.0,1.9e-05,3834,2209,3764,2196,142,28,5.071,345.6,0.628,0.102
87,755.0,1.5e-05,3068,2214,3034,2183,91,79,1.152,325.6,0.239,0.09
88,1076.0,2.1e-05,4220,2145,4150,2127,147,40,3.675,363.0,0.624,0.103
89,747.5,1.5e-05,1535,2190,1531,2111,12,157,0.076,352.2,0.62,0.076
90,522.5,1e-05,4511,2073,4476,2063,75,23,3.261,178.6,0.702,0.206
