id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
521,629.5,1.2e-05,1378,1298,1325,1287,106,28,3.786,251.2,0.648,0.125
522,669.5,1.3e-05,1693,1331,1668,1286,40,97,0.412,269.4,0.382,0.116
523,667.0,1.2e-05,5534,1314,5479,1279,112,72,1.556,286.7,0.692,0.102
524,1083.5,2e-05,2127,1336,2087,1278,86,129,0.667,352.2,0.509,0.11
525,1641.0,3.1e-05,4443,1345,4383,1277,137,153,0.895,476.0,0.392,0.091
526,1486.0,2.8e-05,1217,1335,1110,1274,228,109,2.092,645.8,0.322,0.045
527,2066.0,3.9e-05,5769,1362,5608,1271,321,189,1.698,826.3,0.439,0.038
528,538.5,1e-05,7253,1301,7237,1265,34,79,0.43,192.8,0.622,0.182
529,567.0,1.1e-05,1396,1275,1349,1263,97,26,3.731,223.2,0.655,0.143
530,533.5,1e-05,1229,1285,1216,1258,39,50,0.78,203.2,0.452,0.162
531,877.5,1.6e-05,5748,1254,5671,1249,149,12,12.417,334.9,0.6,0.098
532,843.0,1.6e-05,7150,1274,7132,1242,51,72,0.708,266.1,0.435,0.15
533,2094.5,3.9e-05,5328,1310,5180,1240,305,133,2.293,785.9,0.423,0.043
534,668.0,1.2e-05,5576,1247,5530,1239,99,25,3.96,236.9,0.568,0.15
535,617.5,1.2e-05,5867,1256,5821,1237,103,31,3.323,259.9,0.409,0.115
536,923.0,1.7e-05,5164,1294,5148,1236,37,130,0.285,302.5,0.623,0.127
537,772.0,1.4e-05,1552,1252,1492,1232,119,45,2.644,280.8,0.567,0.123
538,540.0,1e-05,712,1240,680,1227,75,31,2.419,187.3,0.686,0.193
539,1009.5,1.9e-05,2776,1264,2732,1226,85,84,1.012,351.3,0.359,0.103
540,4361.0,8.1e-05,1808,1329,1536,1219,537,215,2.498,1320.9,0.191,0.031
541,525.0,1e-05,5299,1242,5274,1218,47,50,0.94,229.1,0.357,0.126
542,1413.0,2.6e-05,5119,1315,5094,1210,53,204,0.26,472.3,0.485,0.08
543,1133.5,2.1e-05,2358,1223,2337,1206,43,37,1.162,139.3,0.916,0.734
544,1097.0,2e-05,1232,1244,1156,1201,164,87,1.885,410.3,0.546,0.082
545,615.0,1.1e-05,7996,1217,7970,1196,53,46,1.152,285.2,0.354,0.095
546,999.0,1.9e-05,2561,1252,2524,1188,82,142,0.577,359.8,0.603,0.097
547,515.0,1e-05,4565,1223,4545,1179,41,85,0.482,216.3,0.589,0.138
548,572.5,1.1e-05,1369,1194,1324,1179,96,32,3.0,222.3,0.686,0.146
549,595.5,1.1e-05,2714,1213,2708,1178,19,70,0.271,183.0,0.58,0.224
550,650.5,1.2e-05,1232,1172,1187,1164,97,16,6.062,238.3,0.666,0.144
551,592.0,1.1e-05,1108,1180,1064,1164,87,39,2.231,218.7,0.581,0.156
