id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,1076.5,2.2e-05,96,6087,0,6081,191,14,13.643,421.4,0.53,0.076
1,2252.5,4.5e-05,392,6088,197,6079,414,16,25.875,905.7,0.466,0.035
2,714.0,1.4e-05,1048,6065,1027,6036,44,59,0.746,340.9,0.383,0.077
3,1980.0,4e-05,7331,5880,7306,5836,58,94,0.617,296.2,0.725,0.284
4,641.0,1.3e-05,2952,5804,2946,5747,18,116,0.155,267.5,0.6,0.113
5,1044.0,2.1e-05,7267,5777,7247,5709,38,134,0.284,315.6,0.568,0.132
6,658.5,1.3e-05,4288,5744,4248,5693,84,113,0.743,303.9,0.555,0.09
7,533.0,1.1e-05,7370,5713,7339,5672,66,77,0.857,232.7,0.453,0.124
8,825.0,1.6e-05,2692,5703,2640,5663,96,85,1.129,293.8,0.5,0.12
9,564.5,1.1e-05,3297,5679,3250,5647,87,63,1.381,242.1,0.609,0.121
10,1058.0,2.1e-05,7195,5703,7178,5646,36,122,0.295,313.9,0.671,0.135
11,659.5,1.3e-05,3129,5652,3075,5637,111,31,3.581,261.4,0.661,0.121
12,538.0,1.1e-05,5506,5676,5483,5630,37,97,0.381,242.5,0.371,0.115
13,671.0,1.3e-05,3369,5645,3349,5599,45,93,0.484,229.6,0.658,0.16
14,1058.5,2.1e-05,4507,5638,4448,5563,129,151,0.854,430.9,0.555,0.072
15,686.5,1.4e-05,7134,5595,7099,5552,75,95,0.789,270.3,0.504,0.118
16,530.0,1.1e-05,2554,5593,2536,5548,39,89,0.438,218.3,0.584,0.14
17,511.5,1e-05,6996,5556,6982,5511,30,97,0.309,220.3,0.687,0.132
18,608.0,1.2e-05,2585,5528,2560,5489,49,83,0.59,228.6,0.558,0.146
19,509.0,1e-05,7569,5484,7560,5449,20,77,0.26,194.9,0.544,0.168
20,762.0,1.5e-05,2616,5461,2553,5449,110,27,4.074,382.2,0.361,0.066
21,3093.5,6.2e-05,3732,5671,3557,5440,379,455,0.833,1316.6,0.235,0.022
22,901.5,1.8e-05,3374,5484,3339,5429,66,117,0.564,317.5,0.548,0.112
23,1377.5,2.8e-05,7261,5502,7217,5423,74,170,0.435,433.3,0.36,0.092
